Anna SEIDEL POSITION,Anna SEIDEL LAP TIME,Anna SEIDEL ELAPSED TIME,Petra JASZAPATI POSITION,Petra JASZAPATI LAP TIME,Petra JASZAPATI ELAPSED TIME,Anastassiya KRESTOVA POSITION,Anastassiya KRESTOVA LAP TIME,Anastassiya KRESTOVA ELAPSED TIME,Kimberly GOETZ POSITION,Kimberly GOETZ LAP TIME,Kimberly GOETZ ELAPSED TIME,WANG Xinyue POSITION,WANG Xinyue LAP TIME,WANG Xinyue ELAPSED TIME,MANOILOVA Katrin POSITION,MANOILOVA Katrin LAP TIME,MANOILOVA Katrin ELAPSED TIME
4,11.42,11.42,5,11.56,11.56,6,11.73,11.73,3,11.28,11.28,1,11.23,11.23,2,11.23,11.23
5,14.51,25.93,6,14.48,26.04,1,13.64,25.37,2,14.25,25.53,4,14.61,25.84,3,14.44,25.67
4,12.17,38.10,5,12.09,38.13,2,12.48,37.85,1,12.27,37.80,6,12.29,38.13,3,12.30,37.97
5,12.99,51.09,6,12.97,51.10,4,13.12,50.97,2,13.04,50.84,3,12.74,50.87,1,12.77,50.74
5,13.15,1:04.24,6,13.30,1:04.40,4,13.23,1:04.20,3,13.23,1:04.07,1,13.04,1:03.91,2,13.29,1:04.03
6,12.07,1:16.31,1,11.33,1:15.73,4,11.92,1:16.12,2,11.73,1:15.80,5,12.37,1:16.28,3,11.92,1:15.95
5,10.35,1:26.66,1,10.47,1:26.20,4,10.42,1:26.54,2,10.50,1:26.30,6,11.07,1:27.35,3,10.49,1:26.44
5,10.46,1:37.12,1,10.45,1:36.65,4,10.49,1:37.03,2,10.46,1:36.76,6,11.17,1:38.52,3,10.47,1:36.91
5,10.11,1:47.23,1,10.15,1:46.80,4,10.08,1:47.11,2,10.16,1:46.92,6,11.56,1:50.08,3,10.16,1:47.07
5,10.03,1:57.26,1,10.08,1:56.88,3,10.03,1:57.14,2,10.09,1:57.01,6,11.56,2:01.64,4,10.12,1:57.19
4,9.98,2:07.24,1,10.05,2:06.93,5,10.16,2:07.30,2,10.00,2:07.01,6,11.47,2:13.11,3,9.86,2:07.05
3,9.95,2:17.19,1,10.15,2:17.08,5,10.20,2:17.50,4,10.40,2:17.41,6,11.56,2:24.67,2,10.12,2:17.17
1,10.05,2:27.24,2,10.31,2:27.39,4,10.63,2:28.13,5,10.98,2:28.39,6,11.68,2:36.35,3,10.39,2:27.56
1,10.33,2:37.569,2,10.53,2:37.911,4,10.94,2:39.067,5,11.73,2:40.115,6,12.61,2:48.951,3,10.48,2:38.040
