Lea THIBAULT POSITION,Lea THIBAULT LAP TIME,Lea THIBAULT ELAPSED TIME,ZAKHAROVA Evgeniya POSITION,ZAKHAROVA Evgeniya LAP TIME,ZAKHAROVA Evgeniya ELAPSED TIME,Alexandra ROUT POSITION,Alexandra ROUT LAP TIME,Alexandra ROUT ELAPSED TIME,Sinead FOGARTY POSITION,Sinead FOGARTY LAP TIME,Sinead FOGARTY ELAPSED TIME
1,7.78,7.78,2,7.81,7.81,3,8.15,8.15,4,8.35,8.35
2,10.00,17.78,1,9.78,17.59,3,10.70,18.85,4,10.55,18.90
2,9.53,27.31,1,9.47,27.06,4,10.49,29.34,3,10.31,29.21
2,9.56,36.87,1,9.58,36.64,4,10.51,39.85,3,10.47,39.68
2,9.64,46.502,1,9.78,46.416,4,10.75,50.591,3,10.65,50.330
