Federica TOMBOLATO POSITION,Federica TOMBOLATO LAP TIME,Federica TOMBOLATO ELAPSED TIME,Kimberly GOETZ POSITION,Kimberly GOETZ LAP TIME,Kimberly GOETZ ELAPSED TIME,MALAGICH Emina POSITION,MALAGICH Emina LAP TIME,MALAGICH Emina ELAPSED TIME,Hitomi SAITO POSITION,Hitomi SAITO LAP TIME,Hitomi SAITO ELAPSED TIME,Andrea KESZLER POSITION,Andrea KESZLER LAP TIME,Andrea KESZLER ELAPSED TIME
2,15.74,15.74,5,15.99,15.99,3,15.81,15.81,4,15.96,15.96,1,15.71,15.71
2,11.53,27.27,1,11.09,27.08,4,11.82,27.63,5,11.81,27.77,3,11.69,27.40
2,11.02,38.29,1,11.12,38.20,3,10.74,38.37,5,10.81,38.58,4,11.00,38.40
2,10.82,49.11,1,10.75,48.95,3,10.86,49.23,5,10.89,49.47,4,10.93,49.33
2,9.99,59.10,1,10.04,58.99,3,10.03,59.26,5,10.05,59.52,4,10.03,59.36
2,9.59,1:08.69,1,9.60,1:08.59,3,9.48,1:08.74,5,9.45,1:08.97,4,9.48,1:08.84
4,9.66,1:18.35,2,9.62,1:18.21,1,9.32,1:18.06,5,9.47,1:18.44,3,9.43,1:18.27
5,9.81,1:28.16,2,9.57,1:27.78,1,9.63,1:27.69,4,9.48,1:27.92,3,9.58,1:27.85
4,,1:38.074,5,,1:38.092,1,9.86,1:37.55,2,9.68,1:37.580,3,9.98,1:37.805
