LEE Han-Bin POSITION,LEE Han-Bin LAP TIME,LEE Han-Bin ELAPSED TIME,Liam McFARLANE POSITION,Liam McFARLANE LAP TIME,Liam McFARLANE ELAPSED TIME,Thibaut FAUCONNET POSITION,Thibaut FAUCONNET LAP TIME,Thibaut FAUCONNET ELAPSED TIME,Pierre BODA POSITION,Pierre BODA LAP TIME,Pierre BODA ELAPSED TIME
3,13.03,13.03,1,12.88,12.88,2,12.95,12.95,4,13.15,13.15
2,10.28,23.31,1,10.34,23.22,3,10.38,23.33,4,10.24,23.39
3,9.39,32.70,2,9.48,32.70,1,9.35,32.68,4,9.53,32.92
2,9.45,42.15,1,9.34,42.04,3,9.57,42.25,4,9.44,42.36
2,9.44,51.59,1,9.47,51.51,3,9.47,51.72,4,9.50,51.86
2,9.11,1:00.70,1,9.16,1:00.67,3,9.12,1:00.84,4,9.14,1:01.00
1,8.96,1:09.66,3,9.17,1:09.84,2,8.93,1:09.77,4,8.96,1:09.96
1,8.94,1:18.60,3,8.99,1:18.83,2,8.92,1:18.69,4,9.18,1:19.14
1,8.95,1:27.549,2,8.96,1:27.788,0,,PEN,3,9.39,1:28.524
