Anthony LOBELLO POSITION,Anthony LOBELLO LAP TIME,Anthony LOBELLO ELAPSED TIME,Thibaut FAUCONNET POSITION,Thibaut FAUCONNET LAP TIME,Thibaut FAUCONNET ELAPSED TIME,Roberto PUKITIS POSITION,Roberto PUKITIS LAP TIME,Roberto PUKITIS ELAPSED TIME,Freek van der WART POSITION,Freek van der WART LAP TIME,Freek van der WART ELAPSED TIME,Viktor KNOCH POSITION,Viktor KNOCH LAP TIME,Viktor KNOCH ELAPSED TIME,NIKISHA Denis POSITION,NIKISHA Denis LAP TIME,NIKISHA Denis ELAPSED TIME
1,8.96,8.96,3,9.13,9.13,6,9.48,9.48,4,9.27,9.27,2,9.05,9.05,5,9.35,9.35
2,12.61,21.57,3,12.58,21.71,6,12.60,22.08,4,12.57,21.84,1,12.40,21.45,5,12.62,21.97
1,11.68,33.25,3,11.81,33.52,6,11.81,33.89,4,11.80,33.64,2,11.90,33.35,5,11.82,33.79
1,11.57,44.82,3,11.62,45.14,5,11.49,45.38,4,11.63,45.27,2,11.60,44.95,6,11.72,45.51
1,10.69,55.51,3,10.63,55.77,6,10.59,55.97,4,10.61,55.88,2,10.69,55.64,5,10.42,55.93
1,10.22,1:05.73,3,10.18,1:05.95,6,10.28,1:06.25,4,10.18,1:06.06,2,10.19,1:05.83,5,10.23,1:06.16
1,9.81,1:15.54,3,9.79,1:15.74,6,9.81,1:16.06,4,9.81,1:15.87,2,9.79,1:15.62,5,9.81,1:15.97
1,9.88,1:25.42,3,9.91,1:25.65,6,9.88,1:25.94,4,9.89,1:25.76,2,9.90,1:25.52,5,9.90,1:25.87
1,9.86,1:35.28,3,9.83,1:35.48,6,9.85,1:35.79,4,9.82,1:35.58,2,9.84,1:35.36,5,9.84,1:35.71
1,9.47,1:44.75,3,9.45,1:44.93,6,9.32,1:45.11,4,9.42,1:45.00,2,9.46,1:44.82,5,9.34,1:45.05
3,9.28,1:54.03,2,9.06,1:53.99,4,9.16,1:54.27,5,9.36,1:54.36,1,9.13,1:53.95,6,9.35,1:54.40
4,9.30,2:03.33,1,9.02,2:03.01,3,9.05,2:03.32,5,9.13,2:03.49,2,9.22,2:03.17,6,9.26,2:03.66
4,9.20,2:12.53,1,9.16,2:12.17,3,9.08,2:12.40,5,9.11,2:12.60,2,9.16,2:12.33,6,9.35,2:13.01
5,9.44,2:21.961,1,9.37,2:21.533,3,9.32,2:21.719,4,9.16,2:21.759,2,9.37,2:21.694,6,9.61,2:22.613
