YU Xiangwen POSITION,YU Xiangwen LAP TIME,YU Xiangwen ELAPSED TIME,Melle van 'T WOUT POSITION,Melle van 'T WOUT LAP TIME,Melle van 'T WOUT ELAPSED TIME,SEO Beomsuk POSITION,SEO Beomsuk LAP TIME,SEO Beomsuk ELAPSED TIME,NIKISHA Denis POSITION,NIKISHA Denis LAP TIME,NIKISHA Denis ELAPSED TIME
1,15.45,,3,15.75,15.75,2,15.72,15.72,4,15.89,15.89
1,11.20,,3,11.28,27.03,2,11.03,26.75,4,11.23,27.12
1,10.02,,2,9.81,36.84,3,10.17,36.92,4,9.89,37.01
1,9.02,,3,9.00,45.84,2,8.87,45.79,4,8.88,45.89
2,9.11,,4,9.20,55.04,1,8.96,54.75,3,8.97,54.86
1,9.19,,4,9.11,1:04.15,3,9.26,1:04.01,2,9.14,1:04.00
2,9.12,,4,9.09,1:13.24,1,8.97,1:12.98,3,9.19,1:13.19
4,9.19,,3,9.00,1:22.24,1,9.15,1:22.13,2,8.97,1:22.16
3,9.50,,3,9.47,1:31.715,1,9.30,1:31.431,2,9.38,1:31.544
