START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,START_POS_4 POSITION,START_POS_4 LAP TIME,START_POS_4 ELAPSED TIME,START_POS_5 POSITION,START_POS_5 LAP TIME,START_POS_5 ELAPSED TIME,START_POS_6 POSITION,START_POS_6 LAP TIME,START_POS_6 ELAPSED TIME,START_POS_7 POSITION,START_POS_7 LAP TIME,START_POS_7 ELAPSED TIME,season,competition,event,gender,round,race
6,10.23,10.23,2,9.80,9.80,7,10.42,10.42,4,10.02,10.02,3,10.02,10.02,1,9.76,9.76,5,10.17,10.17,2012-2013,"ISU World Cup 2012/2013, Shanghai (CHN)",1500m,w,Semifinals,1
5,14.43,24.66,2,14.51,24.31,7,14.44,24.86,3,14.48,24.50,4,14.62,24.64,1,14.49,24.25,6,14.57,24.74,2012-2013,"ISU World Cup 2012/2013, Shanghai (CHN)",1500m,w,Semifinals,1
1,11.72,36.38,4,12.31,36.62,7,12.16,37.02,3,12.09,36.59,5,12.19,36.83,2,12.30,36.55,6,12.17,36.91,2012-2013,"ISU World Cup 2012/2013, Shanghai (CHN)",1500m,w,Semifinals,1
3,11.34,47.72,4,11.22,47.84,2,10.67,47.69,1,11.07,47.66,6,11.24,48.07,5,11.30,47.85,7,11.25,48.16,2012-2013,"ISU World Cup 2012/2013, Shanghai (CHN)",1500m,w,Semifinals,1
4,10.21,57.93,2,9.86,57.70,1,9.95,57.64,3,10.18,57.84,6,10.05,58.12,5,10.18,58.03,7,10.05,58.21,2012-2013,"ISU World Cup 2012/2013, Shanghai (CHN)",1500m,w,Semifinals,1
5,10.42,1:08.35,2,10.41,1:08.11,1,10.39,1:08.03,3,10.39,1:08.23,6,10.33,1:08.45,4,10.22,1:08.25,7,10.31,1:08.52,2012-2013,"ISU World Cup 2012/2013, Shanghai (CHN)",1500m,w,Semifinals,1
5,10.04,1:18.39,2,9.97,1:18.08,1,10.02,1:18.05,3,10.01,1:18.24,6,10.04,1:18.49,4,10.08,1:18.33,7,10.10,1:18.62,2012-2013,"ISU World Cup 2012/2013, Shanghai (CHN)",1500m,w,Semifinals,1
3,10.25,1:28.64,2,10.51,1:28.59,1,10.48,1:28.53,4,10.49,1:28.73,6,10.43,1:28.92,5,10.51,1:28.84,7,10.39,1:29.01,2012-2013,"ISU World Cup 2012/2013, Shanghai (CHN)",1500m,w,Semifinals,1
1,9.66,1:38.30,3,9.91,1:38.50,2,9.95,1:38.48,4,9.93,1:38.66,6,10.05,1:38.97,5,10.02,1:38.86,7,10.04,1:39.05,2012-2013,"ISU World Cup 2012/2013, Shanghai (CHN)",1500m,w,Semifinals,1
1,9.89,1:48.19,2,9.74,1:48.24,3,9.91,1:48.39,4,9.80,1:48.46,5,9.51,1:48.48,6,9.73,1:48.59,7,16.48,1:55.53,2012-2013,"ISU World Cup 2012/2013, Shanghai (CHN)",1500m,w,Semifinals,1
3,10.04,1:58.23,1,9.66,1:57.90,2,9.79,1:58.18,4,9.80,1:58.26,5,9.85,1:58.33,6,9.81,1:58.40,7,29.34,2:24.87,2012-2013,"ISU World Cup 2012/2013, Shanghai (CHN)",1500m,w,Semifinals,1
6,10.23,2:08.46,1,9.70,2:07.60,2,9.50,2:07.68,4,9.83,2:08.09,3,9.66,2:07.99,5,9.89,2:08.29,7,22.40,2:47.27,2012-2013,"ISU World Cup 2012/2013, Shanghai (CHN)",1500m,w,Semifinals,1
6,10.32,2:18.78,1,10.00,2:17.60,2,10.04,2:17.72,4,9.77,2:17.86,3,9.78,2:17.77,5,9.78,2:18.07,7,14.64,3:01.91,2012-2013,"ISU World Cup 2012/2013, Shanghai (CHN)",1500m,w,Semifinals,1
5,10.60,2:29.380,0,,PEN,1,9.94,2:27.654,3,9.99,2:27.851,2,9.97,2:27.740,4,9.91,2:27.972,6,13.36,3:15.263,2012-2013,"ISU World Cup 2012/2013, Shanghai (CHN)",1500m,w,Semifinals,1
