Nicola FRANCESCHINA POSITION,Nicola FRANCESCHINA LAP TIME,Nicola FRANCESCHINA ELAPSED TIME,Gabor GALAMBOS POSITION,Gabor GALAMBOS LAP TIME,Gabor GALAMBOS ELAPSED TIME,Sascha LAUBER POSITION,Sascha LAUBER LAP TIME,Sascha LAUBER ELAPSED TIME,Alexander SEKISOV POSITION,Alexander SEKISOV LAP TIME,Alexander SEKISOV ELAPSED TIME,Volodymyr GRYGORIEV POSITION,Volodymyr GRYGORIEV LAP TIME,Volodymyr GRYGORIEV ELAPSED TIME
1,12.986,12.986,2,13.118,13.118,3,13.142,13.142,4,13.225,13.225,5,13.353,13.353
2,10.196,23.182,3,10.134,23.252,4,10.226,23.367,1,9.851,23.075,5,10.235,23.587
2,10.338,33.519,4,10.546,33.797,3,10.338,33.705,1,10.315,33.390,5,10.369,33.955
2,10.333,43.852,4,10.186,43.983,3,10.265,43.970,1,10.337,43.726,5,10.181,44.136
4,10.288,54.140,3,10.059,54.042,2,10.073,54.042,1,10.123,53.849,5,10.032,54.167
4,9.769,1:03.909,3,9.819,1:03.860,2,9.626,1:03.668,5,10.127,1:03.975,1,9.373,1:03.540
4,9.669,1:13.577,3,9.651,1:13.511,2,9.650,1:13.317,5,10.033,1:14.007,1,9.460,1:13.000
3,9.596,1:23.173,4,9.876,1:23.386,2,9.774,1:23.091,5,10.107,1:24.113,1,9.598,1:22.597
2,9.70,1:32.866,4,10.27,1:33.654,3,10.13,1:33.213,5,10.73,1:34.834,1,10.08,1:32.668
