Hironobu MURATAKE POSITION,Hironobu MURATAKE LAP TIME,Hironobu MURATAKE ELAPSED TIME,Jack WHELBOURNE POSITION,Jack WHELBOURNE LAP TIME,Jack WHELBOURNE ELAPSED TIME,Shaolin Sandor LIU POSITION,Shaolin Sandor LIU LAP TIME,Shaolin Sandor LIU ELAPSED TIME,Pierre BODA POSITION,Pierre BODA LAP TIME,Pierre BODA ELAPSED TIME
2,12.94,12.94,3,13.09,13.09,4,13.20,13.20,1,12.74,12.74
2,9.49,22.43,3,9.44,22.53,4,9.45,22.65,1,9.58,22.32
2,9.32,31.75,3,9.31,31.84,4,9.33,31.98,1,9.34,31.66
3,9.13,40.88,4,9.15,40.99,2,8.90,40.88,1,9.13,40.79
2,8.85,49.73,3,8.86,49.85,1,8.83,49.71,4,9.11,49.90
2,8.95,58.68,3,8.98,58.83,1,8.85,58.56,4,9.04,58.94
2,8.97,1:07.65,3,8.92,1:07.75,1,8.99,1:07.55,4,8.98,1:07.92
2,9.31,1:16.96,4,23.82,1:31.57,1,9.16,1:16.71,3,9.16,1:17.08
2,9.39,1:26.351,4,22.00,1:53.569,1,9.51,1:26.220,3,9.52,1:26.592
