CONFORTOLA Yuri POSITION,CONFORTOLA Yuri LAP TIME,CONFORTOLA Yuri ELAPSED TIME,MURPHY Peter POSITION,MURPHY Peter LAP TIME,MURPHY Peter ELAPSED TIME,YOSHINAGA Kazuki POSITION,YOSHINAGA Kazuki LAP TIME,YOSHINAGA Kazuki ELAPSED TIME,SU Jun-Peng POSITION,SU Jun-Peng LAP TIME,SU Jun-Peng ELAPSED TIME,ROSS-WADDELL Kyle POSITION,ROSS-WADDELL Kyle LAP TIME,ROSS-WADDELL Kyle ELAPSED TIME
1,12.59,12.59,3,12.81,12.81,2,12.68,12.68,4,12.91,12.91,5,12.93,12.93
1,9.24,21.83,3,9.21,22.02,2,9.26,21.94,4,9.21,22.12,5,9.33,22.26
1,9.10,30.93,3,9.13,31.15,2,9.09,31.03,4,9.11,31.23,5,9.10,31.36
1,9.08,40.01,3,9.12,40.27,2,9.08,40.11,4,9.12,40.35,5,9.11,40.47
1,9.12,49.13,4,9.36,49.63,2,9.05,49.16,3,9.12,49.47,5,9.20,49.67
2,9.07,58.20,5,9.68,59.31,1,8.91,58.07,3,9.20,58.67,4,9.20,58.87
2,9.04,1:07.24,5,10.08,1:09.39,1,9.01,1:07.08,3,9.40,1:08.07,4,9.41,1:08.28
2,9.35,1:16.59,5,10.25,1:19.64,1,9.19,1:16.27,3,9.73,1:17.80,4,9.84,1:18.12
2,9.54,1:26.13,5,10.56,1:30.20,1,9.45,1:25.72,4,10.29,1:28.09,3,9.93,1:28.05
