Victor AN POSITION,Victor AN LAP TIME,Victor AN ELAPSED TIME,Viktor KNOCH POSITION,Viktor KNOCH LAP TIME,Viktor KNOCH ELAPSED TIME,John-Henry KRUEGER POSITION,John-Henry KRUEGER LAP TIME,John-Henry KRUEGER ELAPSED TIME,WATANABE Keita POSITION,WATANABE Keita LAP TIME,WATANABE Keita ELAPSED TIME,SIN da Woon POSITION,SIN da Woon LAP TIME,SIN da Woon ELAPSED TIME
2,12.15,12.15,1,12.01,12.01,3,12.42,12.42,4,12.65,12.65,5,12.88,12.88
2,17.91,30.06,1,17.86,29.87,4,17.85,30.27,5,17.75,30.40,3,17.31,30.19
5,15.60,45.66,4,15.63,45.50,3,15.17,45.44,1,14.84,45.24,2,15.19,45.38
5,13.81,59.47,3,13.67,59.17,4,13.82,59.26,1,13.84,59.08,2,13.79,59.17
5,11.70,1:11.17,2,11.64,1:10.81,4,11.77,1:11.03,1,11.71,1:10.79,3,11.66,1:10.83
5,10.84,1:22.01,3,10.94,1:21.75,4,10.85,1:21.88,1,10.84,1:21.63,2,10.91,1:21.74
5,10.25,1:32.26,3,10.28,1:32.03,4,10.29,1:32.17,2,10.26,1:31.89,1,10.08,1:31.82
5,10.04,1:42.30,4,10.22,1:42.25,3,9.94,1:42.11,2,10.03,1:41.92,1,10.09,1:41.91
1,8.99,1:51.29,5,9.32,1:51.57,4,9.35,1:51.46,3,9.42,1:51.34,2,9.42,1:51.33
1,9.02,2:00.31,4,8.98,2:00.55,3,9.03,2:00.49,5,9.40,2:00.74,2,9.07,2:00.40
1,8.96,2:09.27,4,9.10,2:09.65,3,8.96,2:09.45,5,9.00,2:09.74,2,8.96,2:09.36
1,9.02,2:18.29,4,8.91,2:18.56,2,8.90,2:18.35,5,8.94,2:18.68,3,9.09,2:18.45
1,8.95,2:27.24,4,9.06,2:27.62,2,9.02,2:27.37,5,9.07,2:27.75,3,9.02,2:27.47
1,9.10,2:36.339,4,9.09,2:36.708,2,9.03,2:36.400,5,9.18,2:36.928,3,9.05,2:36.515
