Kyle CARR POSITION,Kyle CARR LAP TIME,Kyle CARR ELAPSED TIME,KIM Byeong Jun POSITION,KIM Byeong Jun LAP TIME,KIM Byeong Jun ELAPSED TIME,Paul HERRMANN POSITION,Paul HERRMANN LAP TIME,Paul HERRMANN ELAPSED TIME,LEPAPE Sebastien POSITION,LEPAPE Sebastien LAP TIME,LEPAPE Sebastien ELAPSED TIME,Konrad NAGY POSITION,Konrad NAGY LAP TIME,Konrad NAGY ELAPSED TIME,Aydar BEKZHANOV POSITION,Aydar BEKZHANOV LAP TIME,Aydar BEKZHANOV ELAPSED TIME
1,9.30,9.30,3,9.74,9.74,6,10.16,10.16,4,9.87,9.87,2,9.43,9.43,5,9.99,9.99
1,14.40,23.70,3,14.26,24.00,6,14.28,24.44,4,14.24,24.11,2,14.39,23.82,5,14.25,24.24
1,14.71,38.41,4,14.72,38.72,6,14.71,39.15,5,14.74,38.85,2,14.68,38.50,3,14.45,38.69
1,14.12,52.53,5,14.26,52.98,3,13.66,52.81,6,14.25,53.10,2,14.16,52.66,4,14.15,52.84
2,10.97,1:03.50,5,10.89,1:03.87,1,10.57,1:03.38,6,10.89,1:03.99,3,10.93,1:03.59,4,10.87,1:03.71
4,10.48,1:13.98,1,9.81,1:13.68,2,10.44,1:13.82,3,9.90,1:13.89,5,10.54,1:14.13,6,10.63,1:14.34
4,10.36,1:24.34,1,10.32,1:24.00,2,10.29,1:24.11,3,10.29,1:24.18,5,10.30,1:24.43,6,10.23,1:24.57
6,10.56,1:34.90,2,10.53,1:34.53,3,10.54,1:34.65,4,10.58,1:34.76,5,10.40,1:34.83,1,9.83,1:34.40
5,9.66,1:44.56,2,9.64,1:44.17,3,9.64,1:44.29,4,9.65,1:44.41,6,9.79,1:44.62,1,9.59,1:43.99
5,9.41,1:53.97,2,9.43,1:53.60,3,9.44,1:53.73,4,9.42,1:53.83,6,9.51,1:54.13,1,9.59,1:53.58
5,9.32,2:03.29,1,9.30,2:02.90,2,9.29,2:03.02,3,9.34,2:03.17,6,9.47,2:03.60,4,9.70,2:03.28
4,9.11,2:12.40,1,9.03,2:11.93,2,9.05,2:12.07,3,9.03,2:12.20,5,10.15,2:13.75,6,10.70,2:13.98
4,9.09,2:21.49,1,9.10,2:21.03,3,9.29,2:21.36,2,9.13,2:21.33,5,10.46,2:24.21,6,10.42,2:24.40
2,9.19,2:30.680,1,9.34,2:30.369,6,54.37,3:15.725,3,9.63,2:30.959,5,10.59,2:34.799,4,10.31,2:34.708
