Dennis VISSER POSITION,Dennis VISSER LAP TIME,Dennis VISSER ELAPSED TIME,Nurbergen ZHUMAGAZIYEV POSITION,Nurbergen ZHUMAGAZIYEV LAP TIME,Nurbergen ZHUMAGAZIYEV ELAPSED TIME,Ruslan ZAKHAROV POSITION,Ruslan ZAKHAROV LAP TIME,Ruslan ZAKHAROV ELAPSED TIME,Pierre BODA POSITION,Pierre BODA LAP TIME,Pierre BODA ELAPSED TIME,Keith CARROLL POSITION,Keith CARROLL LAP TIME,Keith CARROLL ELAPSED TIME
2,12.85,12.85,3,13.01,13.01,1,12.77,12.77,5,13.14,13.14,4,13.09,13.09
3,9.68,22.53,4,9.69,22.70,2,9.66,22.43,5,9.67,22.81,1,9.21,22.30
3,9.30,31.83,4,9.26,31.96,2,9.33,31.76,5,9.26,32.07,1,9.34,31.64
3,9.49,41.32,4,9.41,41.37,2,9.47,41.23,5,9.46,41.53,1,9.48,41.12
3,9.35,50.67,4,9.43,50.80,2,9.38,50.61,5,9.38,50.91,1,9.36,50.48
5,10.23,1:00.90,4,9.43,1:00.23,2,9.38,59.99,3,9.29,1:00.20,1,9.42,59.90
5,9.80,1:10.70,2,9.10,1:09.33,3,9.35,1:09.34,4,9.40,1:09.60,1,9.35,1:09.25
5,10.09,1:20.79,1,9.41,1:18.74,3,9.66,1:19.00,4,9.48,1:19.08,2,9.57,1:18.82
5,10.48,1:31.256,1,9.42,1:28.16,3,9.67,1:28.657,4,9.79,1:28.845,2,9.69,1:28.491
