Yuzo TAKAMIDO POSITION,Yuzo TAKAMIDO LAP TIME,Yuzo TAKAMIDO ELAPSED TIME,BYKANOV Vladislav POSITION,BYKANOV Vladislav LAP TIME,BYKANOV Vladislav ELAPSED TIME,Francois-Louis TREMBLAY POSITION,Francois-Louis TREMBLAY LAP TIME,Francois-Louis TREMBLAY ELAPSED TIME,Myukerrem TOP POSITION,Myukerrem TOP LAP TIME,Myukerrem TOP ELAPSED TIME,Matthias STELZMUELLER POSITION,Matthias STELZMUELLER LAP TIME,Matthias STELZMUELLER ELAPSED TIME
3,8.98,8.98,2,8.82,8.82,4,9.05,9.05,5,9.09,9.09,1,8.70,8.70
5,11.82,20.80,2,11.58,20.40,3,11.62,20.67,4,11.58,20.67,1,11.70,20.40
4,10.52,31.32,1,10.76,31.16,2,10.50,31.17,5,10.70,31.37,3,10.87,31.27
1,10.06,41.38,3,10.37,41.53,2,10.30,41.47,5,10.39,41.76,4,10.36,41.63
1,10.63,52.01,3,10.64,52.17,2,10.63,52.10,5,10.56,52.32,4,10.60,52.23
1,10.59,1:02.60,2,10.51,1:02.68,3,10.71,1:02.81,5,10.62,1:02.94,4,10.69,1:02.92
1,10.28,1:12.88,2,10.30,1:12.98,3,10.19,1:13.00,4,10.22,1:13.16,5,10.41,1:13.33
1,10.06,1:22.94,5,10.44,1:23.42,2,10.06,1:23.06,3,10.12,1:23.28,4,10.09,1:23.42
1,9.83,1:32.77,3,9.64,1:33.06,2,9.81,1:32.87,4,10.08,1:33.36,5,10.06,1:33.48
1,9.52,1:42.29,3,9.47,1:42.53,2,9.52,1:42.39,4,10.36,1:43.72,5,10.26,1:43.74
1,9.36,1:51.65,3,9.35,1:51.88,2,9.40,1:51.79,5,10.78,1:54.50,4,10.43,1:54.17
1,9.31,2:00.96,3,9.35,2:01.23,2,9.32,2:01.11,5,10.77,2:05.27,4,10.37,2:04.54
1,9.34,2:10.30,3,9.60,2:10.83,2,9.44,2:10.55,5,11.14,2:16.41,4,10.84,2:15.38
1,9.69,2:19.983,0,,PEN,2,9.97,2:20.521,4,11.47,2:27.873,3,11.98,2:27.355
