Thibault METRAUX POSITION,Thibault METRAUX LAP TIME,Thibault METRAUX ELAPSED TIME,ZHANG Tianyi POSITION,ZHANG Tianyi LAP TIME,ZHANG Tianyi ELAPSED TIME,MIYATA Shogo POSITION,MIYATA Shogo LAP TIME,MIYATA Shogo ELAPSED TIME,JASZAPATI Peter POSITION,JASZAPATI Peter LAP TIME,JASZAPATI Peter ELAPSED TIME,CECH Danielius POSITION,CECH Danielius LAP TIME,CECH Danielius ELAPSED TIME
3,9.26,9.26,2,9.12,9.12,1,9.02,9.02,4,9.41,9.41,5,9.62,9.62
4,12.37,21.63,2,12.39,21.51,1,12.39,21.41,3,12.19,21.60,5,12.22,21.84
4,12.20,33.83,2,12.17,33.68,1,12.15,33.56,3,12.20,33.80,5,12.26,34.10
1,10.60,44.43,3,11.16,44.84,2,11.10,44.66,4,11.19,44.99,5,11.13,45.23
1,10.58,55.01,3,10.49,55.33,2,10.46,55.12,4,10.48,55.47,5,10.37,55.60
1,10.84,1:05.85,3,10.83,1:06.16,2,10.88,1:06.00,4,10.81,1:06.28,5,10.81,1:06.41
1,10.83,1:16.68,3,10.91,1:17.07,2,10.84,1:16.84,4,10.93,1:17.21,5,10.94,1:17.35
1,10.45,1:27.13,3,10.28,1:27.35,2,10.41,1:27.25,4,10.28,1:27.49,5,10.27,1:27.62
2,10.15,1:37.28,3,9.96,1:37.31,1,10.01,1:37.26,4,10.05,1:37.54,5,10.19,1:37.81
4,9.82,1:47.10,1,9.24,1:46.55,2,9.41,1:46.67,3,9.25,1:46.79,5,9.84,1:47.65
4,9.62,1:56.72,1,9.31,1:55.86,2,9.29,1:55.96,3,9.37,1:56.16,5,10.11,1:57.76
4,9.88,2:06.60,1,8.91,2:04.77,2,9.01,2:04.97,3,9.22,2:05.38,5,10.37,2:08.13
4,10.20,2:16.80,1,9.06,2:13.83,2,8.96,2:13.93,3,9.32,2:14.70,5,10.82,2:18.95
4,10.32,2:27.12,1,9.12,2:22.95,2,9.12,2:23.05,3,9.63,2:24.33,5,11.04,2:29.99
