Paul HERRMANN POSITION,Paul HERRMANN LAP TIME,Paul HERRMANN ELAPSED TIME,Koen HAKKENBERG POSITION,Koen HAKKENBERG LAP TIME,Koen HAKKENBERG ELAPSED TIME,AZHGALIYEV Abzal POSITION,AZHGALIYEV Abzal LAP TIME,AZHGALIYEV Abzal ELAPSED TIME,Sergey PRANKEVICH POSITION,Sergey PRANKEVICH LAP TIME,Sergey PRANKEVICH ELAPSED TIME,GONG Qiuwen POSITION,GONG Qiuwen LAP TIME,GONG Qiuwen ELAPSED TIME,Guillaume BASTILLE POSITION,Guillaume BASTILLE LAP TIME,Guillaume BASTILLE ELAPSED TIME
2,8.42,8.42,1,8.29,8.29,6,8.66,8.66,5,8.65,8.65,4,8.50,8.50,3,8.49,8.49
1,11.77,20.19,3,12.02,20.31,6,12.00,20.66,5,11.83,20.48,4,11.89,20.39,2,11.72,20.21
1,11.09,31.28,4,11.16,31.47,6,11.09,31.75,3,10.99,31.47,5,11.20,31.59,2,11.17,31.38
1,10.74,42.02,4,10.89,42.36,6,10.86,42.61,2,10.67,42.14,5,10.88,42.47,3,10.88,42.26
1,11.10,53.12,2,10.80,53.16,6,10.94,53.55,3,11.06,53.20,5,10.95,53.42,4,11.04,53.30
2,10.54,1:03.66,1,10.35,1:03.51,6,10.58,1:04.13,3,10.57,1:03.77,5,10.59,1:04.01,4,10.58,1:03.88
3,10.18,1:13.84,2,10.19,1:13.70,6,10.14,1:14.27,4,10.18,1:13.95,5,10.13,1:14.14,1,9.76,1:13.64
3,9.85,1:23.69,2,9.89,1:23.59,6,9.74,1:24.01,4,9.81,1:23.76,5,9.76,1:23.90,1,9.88,1:23.52
4,10.12,1:33.81,2,10.10,1:33.69,6,10.09,1:34.10,3,10.01,1:33.77,5,10.08,1:33.98,1,10.10,1:33.62
4,10.23,1:44.04,2,10.14,1:43.83,5,10.04,1:44.14,3,10.15,1:43.92,6,10.16,1:44.14,1,10.09,1:43.71
6,9.81,1:53.85,4,9.88,1:53.71,5,9.67,1:53.81,3,9.67,1:53.59,1,9.10,1:53.24,2,9.77,1:53.48
6,9.99,2:03.84,4,9.42,2:03.13,5,9.33,2:03.14,3,9.16,2:02.75,1,9.02,2:02.26,2,9.19,2:02.67
6,10.36,2:14.20,4,9.78,2:12.91,5,9.87,2:13.01,2,9.20,2:11.95,1,9.43,2:11.69,3,9.30,2:11.97
6,11.89,2:26.090,4,10.39,2:23.292,5,10.40,2:23.405,2,9.68,2:21.630,1,9.89,2:21.572,3,9.70,2:21.661
