Thibaut FAUCONNET POSITION,Thibaut FAUCONNET LAP TIME,Thibaut FAUCONNET ELAPSED TIME,Fabio CARTA POSITION,Fabio CARTA LAP TIME,Fabio CARTA ELAPSED TIME,AHN Hyun-Soo POSITION,AHN Hyun-Soo LAP TIME,AHN Hyun-Soo ELAPSED TIME,Apolo Anton OHNO POSITION,Apolo Anton OHNO LAP TIME,Apolo Anton OHNO ELAPSED TIME
1,13.277,13.277,3,13.667,13.667,2,13.595,13.595,4,13.858,13.858
2,10.601,23.877,4,10.733,24.400,1,10.242,23.837,3,10.241,24.098
4,10.189,34.065,3,9.639,34.038,2,9.814,33.650,1,9.492,33.590
2,9.468,43.533,3,9.607,43.644,1,9.697,43.347,4,10.281,43.870
3,9.343,52.876,2,9.226,52.869,1,9.306,52.653,4,9.090,52.960
2,8.877,1:01.753,3,8.994,1:01.863,1,8.962,1:01.614,4,9.224,1:02.183
2,8.907,1:10.660,3,8.889,1:10.752,1,8.871,1:10.485,4,8.601,1:10.784
3,9.071,1:19.730,4,9.158,1:19.910,1,8.844,1:19.329,2,8.746,1:19.529
3,9.44,1:29.168,4,9.38,1:29.287,1,9.67,1:28.996,2,9.52,1:29.044
