Ariff Rasydan MOHAMAD FADZLI POSITION,Ariff Rasydan MOHAMAD FADZLI LAP TIME,Ariff Rasydan MOHAMAD FADZLI ELAPSED TIME,BYKANOV Vladislav POSITION,BYKANOV Vladislav LAP TIME,BYKANOV Vladislav ELAPSED TIME,GOEMINNE Gert-Jan POSITION,GOEMINNE Gert-Jan LAP TIME,GOEMINNE Gert-Jan ELAPSED TIME,ANDERMANN Dominic POSITION,ANDERMANN Dominic LAP TIME,ANDERMANN Dominic ELAPSED TIME,Nicolas LABORDE POSITION,Nicolas LABORDE LAP TIME,Nicolas LABORDE ELAPSED TIME
2,13.91,13.91,4,14.21,14.21,3,13.97,13.97,5,14.31,14.31,1,13.81,13.81
2,11.04,24.95,4,10.91,25.12,1,10.89,24.86,5,10.89,25.20,2,11.14,24.95
5,11.30,36.25,2,10.96,36.08,1,11.09,35.95,4,11.04,36.24,3,11.21,36.16
4,10.96,47.21,2,10.87,46.95,1,10.90,46.85,5,11.10,47.34,3,10.91,47.07
5,10.44,57.65,1,10.20,57.15,2,10.45,57.30,4,10.27,57.61,2,10.23,57.30
5,10.45,1:08.10,1,9.51,1:06.66,2,9.50,1:06.80,4,9.39,1:07.00,3,9.60,1:06.90
5,10.80,1:18.90,1,9.35,1:16.01,3,9.42,1:16.22,4,9.28,1:16.28,2,9.23,1:16.13
5,11.00,1:29.90,1,9.02,1:25.03,3,9.30,1:25.52,4,9.35,1:25.63,2,9.32,1:25.45
5,10.95,1:40.858,1,8.94,1:33.97,2,9.20,1:34.72,4,9.47,1:35.105,3,9.59,1:35.045
