Cole William Isaac KRUEGER POSITION,Cole William Isaac KRUEGER LAP TIME,Cole William Isaac KRUEGER ELAPSED TIME,DANDJINOU William POSITION,DANDJINOU William LAP TIME,DANDJINOU William ELAPSED TIME,Maxime LAOUN POSITION,Maxime LAOUN LAP TIME,Maxime LAOUN ELAPSED TIME,TRAN Aaron POSITION,TRAN Aaron LAP TIME,TRAN Aaron ELAPSED TIME,Alex VARNYU POSITION,Alex VARNYU LAP TIME,Alex VARNYU ELAPSED TIME
3,13.00,13.00,4,13.28,,1,12.97,12.97,2,12.98,12.98,5,13.43,13.43
3,9.54,22.54,4,9.37,,1,9.40,22.37,2,9.47,22.45,5,9.33,22.76
3,9.76,32.30,4,9.76,,1,9.70,32.07,2,9.76,32.21,5,9.75,32.51
3,9.48,41.78,5,9.59,,1,9.50,41.57,2,9.40,41.61,4,9.36,41.87
3,8.86,50.64,5,8.89,,1,8.83,50.40,2,8.91,50.52,4,8.89,50.76
3,8.77,59.41,5,8.71,,1,8.72,59.12,2,8.72,59.24,4,8.73,59.49
4,8.72,1:08.13,5,8.65,,1,8.65,1:07.77,2,8.59,1:07.83,3,8.50,1:07.99
4,8.74,1:16.87,5,8.74,,2,8.93,1:16.70,1,8.78,1:16.61,3,8.80,1:16.79
4,9.59,1:26.460,3,8.98,,3,9.31,1:26.016,1,9.11,1:25.72,2,9.01,1:25.800
