KIM Yun-Jae POSITION,KIM Yun-Jae LAP TIME,KIM Yun-Jae ELAPSED TIME,Ruslan ZAKHAROV POSITION,Ruslan ZAKHAROV LAP TIME,Ruslan ZAKHAROV ELAPSED TIME,WANG Xingchun POSITION,WANG Xingchun LAP TIME,WANG Xingchun ELAPSED TIME,CONFORTOLA Yuri POSITION,CONFORTOLA Yuri LAP TIME,CONFORTOLA Yuri ELAPSED TIME,Vincent JEANNE POSITION,Vincent JEANNE LAP TIME,Vincent JEANNE ELAPSED TIME
1,9.11,9.11,4,9.68,9.68,2,9.33,9.33,3,9.51,9.51,5,9.80,9.80
2,12.25,21.36,1,11.46,21.14,3,12.17,21.50,4,12.20,21.71,5,12.02,21.82
2,10.43,31.79,1,10.56,31.70,3,10.38,31.88,4,10.31,32.02,5,10.30,32.12
2,10.59,42.38,1,10.57,42.27,3,10.64,42.52,4,10.63,42.65,5,10.62,42.74
2,10.70,53.08,1,10.66,52.93,3,10.69,53.21,4,10.67,53.32,5,10.68,53.42
2,10.63,1:03.71,1,10.64,1:03.57,3,10.59,1:03.80,4,10.62,1:03.94,5,10.62,1:04.04
1,10.02,1:13.73,2,10.22,1:13.79,3,10.13,1:13.93,4,10.17,1:14.11,5,10.18,1:14.22
1,9.54,1:23.27,2,9.53,1:23.32,3,9.54,1:23.47,4,9.46,1:23.57,5,9.44,1:23.66
2,9.37,1:32.64,1,9.21,1:32.53,3,9.30,1:32.77,4,9.28,1:32.85,5,9.33,1:32.99
2,9.28,1:41.92,1,9.29,1:41.82,3,9.26,1:42.03,4,9.27,1:42.12,5,9.28,1:42.27
1,9.10,1:51.02,2,9.33,1:51.15,3,9.23,1:51.26,4,9.24,1:51.36,5,9.32,1:51.59
1,9.19,2:00.21,2,9.17,2:00.32,3,9.14,2:00.40,4,9.18,2:00.54,5,9.30,2:00.89
1,9.30,2:09.51,2,9.29,2:09.61,3,9.28,2:09.68,4,9.18,2:09.72,5,9.44,2:10.33
1,9.31,2:18.811,3,9.36,2:18.961,4,9.44,2:19.117,2,9.12,2:18.834,5,9.93,2:20.254
