LEE Ho-Suk POSITION,LEE Ho-Suk LAP TIME,LEE Ho-Suk ELAPSED TIME,Apolo Anton OHNO POSITION,Apolo Anton OHNO LAP TIME,Apolo Anton OHNO ELAPSED TIME
2,19.201,19.201,1,18.731,18.731
1,12.818,32.019,2,13.709,32.440
1,13.213,45.231,2,13.127,45.567
2,13.577,58.808,1,13.147,58.715
1,12.534,1:11.342,2,13.069,1:11.784
1,12.954,1:24.295,2,12.801,1:24.585
2,13.248,1:37.543,1,12.788,1:37.372
2,12.429,1:49.972,1,9.505,1:46.878
2,10.277,2:00.249,1,9.637,1:56.514
