Nicola FRANCESCHINA POSITION,Nicola FRANCESCHINA LAP TIME,Nicola FRANCESCHINA ELAPSED TIME,Jean Charles MATTEI POSITION,Jean Charles MATTEI LAP TIME,Jean Charles MATTEI ELAPSED TIME,VAINER Evgeni POSITION,VAINER Evgeni LAP TIME,VAINER Evgeni ELAPSED TIME,Zsolt Istvan PATAKI POSITION,Zsolt Istvan PATAKI LAP TIME,Zsolt Istvan PATAKI ELAPSED TIME,Tomas GRESCHNER POSITION,Tomas GRESCHNER LAP TIME,Tomas GRESCHNER ELAPSED TIME
2,8.050,8.050,4,8.417,8.417,5,8.677,8.677,3,8.381,8.381,1,7.811,7.811
2,10.639,18.688,4,10.538,18.954,5,10.377,19.054,3,10.527,18.907,1,10.816,18.627
2,10.231,28.918,5,10.280,29.234,3,10.051,29.104,4,10.228,29.135,1,10.143,28.770
5,10.604,39.521,4,10.168,39.401,3,10.172,39.276,2,10.085,39.220,1,10.032,38.802
2,9.627,49.147,4,9.990,49.390,3,10.017,49.293,5,10.261,49.480,1,10.225,49.026
2,10.466,59.613,3,10.361,59.751,5,10.839,1:00.131,4,10.518,59.998,1,10.559,59.585
2,10.555,1:10.168,3,10.725,1:10.475,5,10.384,1:10.515,4,10.483,1:10.480,1,10.412,1:09.997
2,10.538,1:20.705,3,10.431,1:20.906,5,10.485,1:20.999,4,10.503,1:20.983,1,10.550,1:20.546
3,10.184,1:30.889,2,9.916,1:30.821,5,10.407,1:31.406,4,10.270,1:31.252,1,10.179,1:30.725
1,9.815,1:40.703,2,10.055,1:40.876,5,10.435,1:41.841,4,10.249,1:41.501,3,10.177,1:40.902
1,9.850,1:50.553,2,9.854,1:50.730,5,10.298,1:52.138,4,10.135,1:51.636,3,9.989,1:50.891
1,9.864,2:00.417,2,9.923,2:00.652,5,10.888,2:03.026,4,10.311,2:01.947,3,10.146,2:01.036
1,9.977,2:10.393,2,10.055,2:10.707,5,11.596,2:14.621,4,10.536,2:12.483,3,10.446,2:11.482
1,10.27,2:20.656,2,10.01,2:20.711,5,12.33,2:26.945,4,10.61,2:23.091,3,11.14,2:22.620
