NOH Do Hee POSITION,NOH Do Hee LAP TIME,NOH Do Hee ELAPSED TIME,Jennifer PICKERING POSITION,Jennifer PICKERING LAP TIME,Jennifer PICKERING ELAPSED TIME,Patrycja MARKIEWICZ POSITION,Patrycja MARKIEWICZ LAP TIME,Patrycja MARKIEWICZ ELAPSED TIME,DOLGOPOLOVA Mariya POSITION,DOLGOPOLOVA Mariya LAP TIME,DOLGOPOLOVA Mariya ELAPSED TIME
3,8.25,8.25,1,7.89,7.89,2,8.14,8.14,4,8.39,8.39
2,9.96,18.21,4,19.59,27.48,1,9.81,17.95,3,10.14,18.53
1,9.25,27.46,4,18.42,45.90,2,9.52,27.47,3,9.49,28.02
1,9.41,36.87,4,11.62,57.52,2,9.59,37.06,3,9.83,37.85
1,9.76,46.63,4,10.48,1:07.986,2,9.76,46.82,3,10.17,47.994
