Tatiana BORODULINA POSITION,Tatiana BORODULINA LAP TIME,Tatiana BORODULINA ELAPSED TIME,VALCEPINA Arianna POSITION,VALCEPINA Arianna LAP TIME,VALCEPINA Arianna ELAPSED TIME,Lenka ZAHUMENSKA POSITION,Lenka ZAHUMENSKA LAP TIME,Lenka ZAHUMENSKA ELAPSED TIME
2,14.51,14.51,3,14.62,14.62,1,13.79,13.79
2,10.57,25.08,3,10.58,25.20,1,10.50,24.29
2,10.20,35.28,3,10.20,35.40,1,10.50,34.79
2,10.24,45.52,3,10.22,45.62,1,10.56,45.35
2,10.43,55.95,3,10.46,56.08,1,10.59,55.94
1,10.08,1:06.03,2,10.05,1:06.13,3,10.38,1:06.32
1,10.11,1:16.14,2,10.11,1:16.24,3,10.24,1:16.56
1,10.16,1:26.30,2,10.17,1:26.41,3,10.81,1:27.37
1,10.26,1:36.556,2,10.31,1:36.716,3,11.04,1:38.404
