SIN da Woon POSITION,SIN da Woon LAP TIME,SIN da Woon ELAPSED TIME,Selim TANRIKULU POSITION,Selim TANRIKULU LAP TIME,Selim TANRIKULU ELAPSED TIME,Jakub JAWORSKI POSITION,Jakub JAWORSKI LAP TIME,Jakub JAWORSKI ELAPSED TIME,DOTTI Tommaso POSITION,DOTTI Tommaso LAP TIME,DOTTI Tommaso ELAPSED TIME,Niels KERSTHOLT POSITION,Niels KERSTHOLT LAP TIME,Niels KERSTHOLT ELAPSED TIME,Aliaksandr ANTANENKA POSITION,Aliaksandr ANTANENKA LAP TIME,Aliaksandr ANTANENKA ELAPSED TIME
3,10.17,10.17,1,9.88,9.88,2,10.02,10.02,4,10.25,10.25,5,10.36,10.36,6,10.52,10.52
3,15.35,25.52,1,15.45,25.33,2,15.40,25.42,4,15.45,25.70,5,15.51,25.87,6,15.42,25.94
6,14.34,39.86,4,14.31,39.64,2,14.13,39.55,1,13.66,39.36,3,13.73,39.60,5,13.76,39.70
6,11.96,51.82,5,11.96,51.60,2,11.47,51.02,4,12.00,51.36,3,11.66,51.26,1,10.83,50.53
6,10.07,1:01.89,5,10.15,1:01.75,2,10.30,1:01.32,4,10.28,1:01.64,3,10.29,1:01.55,1,10.58,1:01.11
6,10.05,1:11.94,5,10.08,1:11.83,2,10.09,1:11.41,4,10.07,1:11.71,3,10.08,1:11.63,1,10.13,1:11.24
6,10.23,1:22.17,5,10.28,1:22.11,2,10.28,1:21.69,4,10.21,1:21.92,3,10.19,1:21.82,1,10.33,1:21.57
2,9.59,1:31.76,6,9.98,1:32.09,1,10.05,1:31.74,4,10.02,1:31.94,3,9.97,1:31.79,5,10.41,1:31.98
1,9.25,1:41.01,5,9.31,1:41.40,2,9.43,1:41.17,4,9.43,1:41.37,3,9.50,1:41.29,6,9.68,1:41.66
1,9.26,1:50.27,5,9.61,1:51.01,2,9.20,1:50.37,4,9.23,1:50.60,3,9.19,1:50.48,6,9.48,1:51.14
1,9.20,1:59.47,5,9.59,2:00.60,2,9.21,1:59.58,4,9.18,1:59.78,3,9.20,1:59.68,6,9.58,2:00.72
1,9.11,2:08.58,5,10.20,2:10.80,3,9.29,2:08.87,4,9.15,2:08.93,2,8.98,2:08.66,6,10.13,2:10.85
1,9.16,2:17.74,6,11.05,2:21.85,4,9.83,2:18.70,3,9.74,2:18.67,2,9.18,2:17.84,5,10.08,2:20.93
1,9.28,2:27.017,5,12.67,2:34.519,3,9.89,2:28.581,0,,PEN,2,9.34,2:27.178,4,10.49,2:31.419
