Sebastian PRAUS POSITION,Sebastian PRAUS LAP TIME,Sebastian PRAUS ELAPSED TIME,SONG Suk-Woo POSITION,SONG Suk-Woo LAP TIME,SONG Suk-Woo ELAPSED TIME,Fabio CARTA POSITION,Fabio CARTA LAP TIME,Fabio CARTA ELAPSED TIME,Apolo Anton OHNO POSITION,Apolo Anton OHNO LAP TIME,Apolo Anton OHNO ELAPSED TIME
1,15.119,15.119,2,15.119,15.119,4,15.297,15.297,3,15.122,15.122
1,9.994,25.113,2,10.128,25.246,4,10.197,25.494,3,10.125,25.247
1,9.481,34.593,2,9.433,34.678,4,9.436,34.929,3,9.518,34.765
2,9.268,43.861,1,9.139,43.817,4,9.204,44.132,3,9.229,43.993
4,9.333,53.193,1,9.115,52.932,2,9.033,53.164,3,9.180,53.172
3,9.140,1:02.333,1,9.073,1:02.005,4,9.329,1:02.493,2,8.949,1:02.121
3,9.093,1:11.425,1,9.134,1:11.139,4,8.961,1:11.454,2,9.225,1:11.345
4,9.353,1:20.778,2,9.221,1:20.359,3,9.159,1:20.612,1,8.898,1:20.243
4,10.04,1:30.811,2,9.47,1:29.830,3,9.30,1:29.906,1,9.30,1:29.541
