Marianne ST-GELAIS POSITION,Marianne ST-GELAIS LAP TIME,Marianne ST-GELAIS ELAPSED TIME,Katherine REUTTER-ADAMEK POSITION,Katherine REUTTER-ADAMEK LAP TIME,Katherine REUTTER-ADAMEK ELAPSED TIME,Veronika WINDISCH POSITION,Veronika WINDISCH LAP TIME,Veronika WINDISCH ELAPSED TIME,Marina GEORGIEVA-NIKOLOVA POSITION,Marina GEORGIEVA-NIKOLOVA LAP TIME,Marina GEORGIEVA-NIKOLOVA ELAPSED TIME
1,13.48,13.48,2,13.59,13.59,3,13.69,13.69,4,13.78,13.78
1,10.69,24.17,3,10.71,24.30,2,10.56,24.25,4,10.63,24.41
2,10.31,34.48,3,10.28,34.58,1,10.17,34.42,4,10.26,34.67
1,10.32,44.80,3,10.42,45.00,2,10.45,44.87,4,10.44,45.11
1,10.47,55.27,3,10.46,55.46,2,10.44,55.31,4,10.44,55.55
2,10.11,1:05.38,3,10.08,1:05.54,1,9.92,1:05.23,4,10.12,1:05.67
2,9.83,1:15.21,3,9.74,1:15.28,1,9.95,1:15.18,4,9.78,1:15.45
1,9.59,1:24.80,2,9.56,1:24.84,4,9.97,1:25.15,3,9.65,1:25.10
2,9.48,1:34.272,1,9.34,1:34.177,4,10.26,1:35.402,3,9.29,1:34.388
