WANG Pengyu POSITION,WANG Pengyu LAP TIME,WANG Pengyu ELAPSED TIME,Shuta MATSUZU POSITION,Shuta MATSUZU LAP TIME,Shuta MATSUZU ELAPSED TIME,TENZER Robin POSITION,TENZER Robin LAP TIME,TENZER Robin ELAPSED TIME,SIGHEL Pietro POSITION,SIGHEL Pietro LAP TIME,SIGHEL Pietro ELAPSED TIME,Mateusz MIKOLAJUK POSITION,Mateusz MIKOLAJUK LAP TIME,Mateusz MIKOLAJUK ELAPSED TIME
5,8.35,8.35,3,7.91,7.91,2,7.83,,4,8.11,8.11,1,7.52,7.52
5,9.82,18.17,3,9.91,17.82,2,9.85,,4,9.79,17.90,1,9.91,17.43
5,9.70,27.87,3,9.84,27.66,2,9.84,,4,9.87,27.77,1,9.89,27.32
5,10.31,38.18,3,10.29,37.95,2,10.24,,4,10.31,38.08,1,10.29,37.61
5,10.42,48.60,3,10.42,48.37,2,10.46,,4,10.38,48.46,1,10.40,48.01
5,10.01,58.61,3,10.07,58.44,2,10.07,,4,10.07,58.53,1,10.05,58.06
3,10.01,1:08.62,3,10.18,1:08.62,2,10.24,,5,10.26,1:08.79,1,10.26,1:08.32
4,10.12,1:18.74,2,9.97,1:18.59,3,10.20,,5,10.10,1:18.89,1,10.07,1:18.39
3,9.55,1:28.29,2,9.63,1:28.22,5,9.82,,4,9.48,1:28.37,1,9.72,1:28.11
2,9.55,1:37.84,1,9.52,1:37.74,5,9.62,,4,9.60,1:37.97,2,9.73,1:37.84
2,9.49,1:47.33,1,9.50,1:47.24,5,9.52,,3,9.46,1:47.43,4,9.78,1:47.62
2,9.42,1:56.75,1,9.50,1:56.74,4,9.41,,3,9.44,1:56.87,5,9.83,1:57.45
1,9.44,2:06.19,3,9.66,2:06.40,4,9.43,,2,9.40,2:06.27,5,10.10,2:07.55
1,9.54,2:15.73,4,30.30,2:36.70,5,41.79,,2,9.56,2:15.83,3,10.46,2:18.01
