Evgenii KOZULIN POSITION,Evgenii KOZULIN LAP TIME,Evgenii KOZULIN ELAPSED TIME,LIANG Wenhao POSITION,LIANG Wenhao LAP TIME,LIANG Wenhao ELAPSED TIME,Ryosuke SAKAZUME POSITION,Ryosuke SAKAZUME LAP TIME,Ryosuke SAKAZUME ELAPSED TIME,Jon ELEY POSITION,Jon ELEY LAP TIME,Jon ELEY ELAPSED TIME
4,13.43,13.43,3,13.30,13.30,2,13.22,13.22,1,13.09,13.09
4,10.56,23.99,2,10.49,23.79,3,10.60,23.82,1,10.66,23.75
2,9.32,33.31,1,9.43,33.22,4,9.63,33.45,3,9.57,33.32
1,9.26,42.57,2,9.44,42.66,4,9.48,42.93,3,9.45,42.77
2,9.50,52.07,1,9.26,51.92,4,9.40,52.33,3,9.38,52.15
2,9.12,1:01.19,1,9.05,1:00.97,4,9.09,1:01.42,3,9.13,1:01.28
3,9.06,1:10.25,1,9.05,1:10.02,4,8.95,1:10.37,2,8.95,1:10.23
4,10.19,1:20.44,1,9.26,1:19.28,3,9.44,1:19.81,2,9.41,1:19.64
4,11.09,1:31.523,1,9.30,1:28.575,3,9.56,1:29.370,2,9.16,1:28.795
