Felix SPIEGL POSITION,Felix SPIEGL LAP TIME,Felix SPIEGL ELAPSED TIME,Cole KRUEGER POSITION,Cole KRUEGER LAP TIME,Cole KRUEGER ELAPSED TIME,Alexandre ST JEAN POSITION,Alexandre ST JEAN LAP TIME,Alexandre ST JEAN ELAPSED TIME,Stefan ANGHEL POSITION,Stefan ANGHEL LAP TIME,Stefan ANGHEL ELAPSED TIME
2,13.63,13.63,1,13.55,13.55,3,13.76,13.76,4,13.86,13.86
1,10.79,24.42,2,10.89,24.44,3,10.78,24.54,4,10.83,24.69
3,10.39,34.81,1,10.23,34.67,2,10.22,34.76,4,10.27,34.96
3,9.72,44.53,1,9.66,44.33,2,9.68,44.44,4,9.79,44.75
3,9.78,54.31,1,9.76,54.09,2,9.74,54.18,4,9.81,54.56
3,9.82,1:04.13,1,9.85,1:03.94,2,9.84,1:04.02,4,10.20,1:04.76
3,9.91,1:14.04,2,9.96,1:13.90,1,9.68,1:13.70,4,10.66,1:15.42
3,9.94,1:23.98,2,9.96,1:23.86,1,9.86,1:23.56,4,11.13,1:26.55
3,9.97,1:33.947,2,9.87,1:33.728,1,10.05,1:33.609,4,11.28,1:37.821
