Zbigniew BRODKA POSITION,Zbigniew BRODKA LAP TIME,Zbigniew BRODKA ELAPSED TIME,YOO Ji-Hoon POSITION,YOO Ji-Hoon LAP TIME,YOO Ji-Hoon ELAPSED TIME,Thibaut FAUCONNET POSITION,Thibaut FAUCONNET LAP TIME,Thibaut FAUCONNET ELAPSED TIME,Jumpei YOSHIZAWA POSITION,Jumpei YOSHIZAWA LAP TIME,Jumpei YOSHIZAWA ELAPSED TIME
1,13.665,13.665,3,13.961,13.961,2,13.869,13.869,4,14.029,14.029
1,11.011,24.675,3,10.967,24.928,2,11.044,24.913,4,10.939,24.967
4,10.242,34.916,1,9.774,34.701,2,9.866,34.779,3,9.913,34.880
2,9.883,44.799,3,10.188,44.889,1,10.001,44.779,4,11.046,45.926
1,9.218,54.016,3,9.655,54.543,2,9.667,54.446,4,8.685,54.611
3,10.006,1:04.022,1,8.954,1:03.497,2,9.418,1:03.864,4,10.268,1:04.879
4,9.675,1:13.696,1,9.236,1:12.733,3,9.049,1:12.913,2,7.913,1:12.791
4,9.749,1:23.445,3,9.721,1:22.454,2,9.473,1:22.385,1,9.566,1:22.357
4,10.26,1:33.701,3,10.00,1:32.449,1,10.00,1:32.382,2,10.09,1:32.440
