SHAO Shuai POSITION,SHAO Shuai LAP TIME,SHAO Shuai ELAPSED TIME,Yoshiaki OGURO POSITION,Yoshiaki OGURO LAP TIME,Yoshiaki OGURO ELAPSED TIME,BYKANOV Vladislav POSITION,BYKANOV Vladislav LAP TIME,BYKANOV Vladislav ELAPSED TIME,DOTTI Tommaso POSITION,DOTTI Tommaso LAP TIME,DOTTI Tommaso ELAPSED TIME
2,13.48,13.48,3,13.61,13.61,4,13.79,13.79,1,13.38,13.38
1,9.78,23.26,2,9.77,23.38,4,9.85,23.64,3,10.09,23.47
1,9.63,32.89,2,9.62,33.00,4,9.56,33.20,3,9.61,33.08
1,9.39,42.28,2,9.36,42.36,4,9.35,42.55,3,9.37,42.45
1,9.14,51.42,2,9.21,51.57,4,9.18,51.73,3,9.19,51.64
1,9.13,1:00.55,2,9.07,1:00.64,4,9.07,1:00.80,3,9.07,1:00.71
1,9.09,1:09.64,3,9.08,1:09.72,4,9.04,1:09.84,2,8.99,1:09.70
1,9.24,1:18.88,4,9.45,1:19.17,3,9.19,1:19.03,2,9.28,1:18.98
1,9.56,1:28.44,4,9.41,1:28.556,3,9.52,1:28.531,2,9.49,1:28.47
