Blake SKJELLERUP POSITION,Blake SKJELLERUP LAP TIME,Blake SKJELLERUP ELAPSED TIME,BYKANOV Vladislav POSITION,BYKANOV Vladislav LAP TIME,BYKANOV Vladislav ELAPSED TIME,Yuzo TAKAMIDO POSITION,Yuzo TAKAMIDO LAP TIME,Yuzo TAKAMIDO ELAPSED TIME,Klaudio NASRI POSITION,Klaudio NASRI LAP TIME,Klaudio NASRI ELAPSED TIME,Pierre BODA POSITION,Pierre BODA LAP TIME,Pierre BODA ELAPSED TIME
5,10.18,10.18,3,10.03,10.03,1,9.72,9.72,2,9.82,9.82,4,10.14,10.14
5,12.88,23.06,4,12.88,22.91,2,12.88,22.60,3,12.89,22.71,1,12.29,22.43
5,11.47,34.53,4,11.51,34.42,2,11.54,34.14,3,11.51,34.22,1,11.60,34.03
5,11.46,45.99,4,11.41,45.83,2,11.45,45.59,3,11.45,45.67,1,11.44,45.47
5,11.13,57.12,4,11.18,57.01,2,11.23,56.82,3,11.23,56.90,1,11.26,56.73
5,11.24,1:08.36,2,11.01,1:08.02,3,11.30,1:08.12,4,11.34,1:08.24,1,11.26,1:07.99
4,10.25,1:18.61,1,10.29,1:18.31,3,10.38,1:18.50,5,10.39,1:18.63,2,10.43,1:18.42
2,9.58,1:28.19,3,9.89,1:28.20,1,9.49,1:27.99,5,9.90,1:28.53,4,9.93,1:28.35
2,9.46,1:37.65,3,9.55,1:37.75,1,9.57,1:37.56,5,9.59,1:38.12,4,9.54,1:37.89
3,9.85,1:47.50,2,9.55,1:47.30,1,9.66,1:47.22,5,9.70,1:47.82,4,9.76,1:47.65
3,9.34,1:56.84,2,9.35,1:56.65,1,9.27,1:56.49,5,9.61,1:57.43,4,9.31,1:56.96
3,9.36,2:06.20,2,9.14,2:05.79,1,9.19,2:05.68,5,9.70,2:07.13,4,9.34,2:06.30
4,9.72,2:15.92,2,9.21,2:15.00,1,9.25,2:14.93,5,9.89,2:17.02,3,9.41,2:15.71
4,10.37,2:26.286,2,9.27,2:24.263,1,9.30,2:24.229,5,10.22,2:27.233,3,9.69,2:25.398
