Valeriya REZNIK POSITION,Valeriya REZNIK LAP TIME,Valeriya REZNIK ELAPSED TIME,Agne SEREIKAITE POSITION,Agne SEREIKAITE LAP TIME,Agne SEREIKAITE ELAPSED TIME,Bernadett HEIDUM POSITION,Bernadett HEIDUM LAP TIME,Bernadett HEIDUM ELAPSED TIME,ZHANG Hui POSITION,ZHANG Hui LAP TIME,ZHANG Hui ELAPSED TIME,van RUIJVEN Lara POSITION,van RUIJVEN Lara LAP TIME,van RUIJVEN Lara ELAPSED TIME,Julia RIEDEL POSITION,Julia RIEDEL LAP TIME,Julia RIEDEL ELAPSED TIME
2,10.19,10.19,3,10.30,10.30,4,10.47,10.47,6,10.76,10.76,5,10.61,10.61,1,10.02,10.02
2,11.81,22.00,3,11.80,22.10,4,11.75,22.22,6,12.16,22.92,5,11.75,22.36,1,11.87,21.89
2,10.76,32.76,3,10.72,32.82,4,10.71,32.93,6,10.48,33.40,5,10.74,33.10,1,10.76,32.65
2,11.04,43.80,4,11.03,43.85,3,10.88,43.81,6,10.72,44.12,5,10.90,44.00,1,11.07,43.72
3,11.10,54.90,4,11.13,54.98,1,10.87,54.68,6,11.14,55.26,5,11.11,55.11,2,11.04,54.76
3,11.36,1:06.26,4,11.35,1:06.33,1,11.37,1:06.05,6,11.26,1:06.52,5,11.31,1:06.42,2,11.37,1:06.13
3,11.59,1:17.85,4,11.62,1:17.95,1,11.57,1:17.62,6,11.73,1:18.25,5,11.65,1:18.07,2,11.61,1:17.74
3,10.91,1:28.76,4,10.82,1:28.77,1,10.96,1:28.58,5,10.58,1:28.83,6,10.95,1:29.02,2,10.93,1:28.67
5,31.83,2:00.59,4,25.76,1:54.53,1,10.17,1:38.75,6,37.36,2:06.19,3,10.99,1:40.01,2,10.18,1:38.85
5,13.15,2:13.74,4,14.23,2:08.76,1,9.85,1:48.60,6,14.16,2:20.35,3,10.92,1:50.93,2,9.87,1:48.72
5,12.11,2:25.85,4,12.85,2:21.61,1,9.85,1:58.45,6,11.88,2:32.23,3,11.34,2:02.27,2,9.90,1:58.62
5,11.98,2:37.83,4,12.25,2:33.86,1,10.16,2:08.61,6,12.09,2:44.32,3,12.03,2:14.30,2,10.10,2:08.72
5,12.33,2:50.16,4,12.08,2:45.94,1,10.06,2:18.67,6,11.69,2:56.01,3,12.44,2:26.74,2,10.11,2:18.83
0,,PEN,4,11.78,2:57.717,1,10.06,2:28.725,5,11.61,3:07.616,3,13.14,2:39.874,2,10.17,2:28.999
