Fabio CARTA POSITION,Fabio CARTA LAP TIME,Fabio CARTA ELAPSED TIME,KIM Hyun-Kon POSITION,KIM Hyun-Kon LAP TIME,KIM Hyun-Kon ELAPSED TIME,LI Jiajun POSITION,LI Jiajun LAP TIME,LI Jiajun ELAPSED TIME,Jean Charles MATTEI POSITION,Jean Charles MATTEI LAP TIME,Jean Charles MATTEI ELAPSED TIME,Cees JUFFERMANS POSITION,Cees JUFFERMANS LAP TIME,Cees JUFFERMANS ELAPSED TIME
4,12.773,12.773,2,12.350,12.350,5,12.912,12.912,1,12.245,12.245,3,12.648,12.648
5,9.691,22.464,1,9.528,21.878,4,9.327,22.239,2,9.784,22.028,3,9.525,22.172
4,9.192,31.655,1,9.337,31.214,5,9.486,31.724,2,9.395,31.423,3,9.450,31.622
5,9.131,40.785,2,9.388,40.602,3,8.975,40.699,1,8.933,40.356,4,9.102,40.724
5,9.383,50.168,1,9.161,49.762,3,9.210,49.909,4,9.584,49.939,2,9.058,49.782
5,9.295,59.463,1,9.097,58.859,4,9.446,59.354,3,9.396,59.334,2,9.350,59.131
4,9.396,1:08.859,3,9.943,1:08.802,2,9.275,1:08.629,5,9.650,1:08.984,1,9.471,1:08.601
3,9.336,1:18.194,1,9.167,1:17.968,2,9.414,1:18.043,4,9.529,1:18.513,5,10.209,1:18.810
3,9.73,1:27.916,1,9.61,1:27.574,2,9.67,1:27.713,4,10.17,1:28.676,0,,DQ
