TRAN Aaron POSITION,TRAN Aaron LAP TIME,TRAN Aaron ELAPSED TIME,XU Hongzhi POSITION,XU Hongzhi LAP TIME,XU Hongzhi ELAPSED TIME,LEPAPE Sebastien POSITION,LEPAPE Sebastien LAP TIME,LEPAPE Sebastien ELAPSED TIME,YOSHINAGA Kazuki POSITION,YOSHINAGA Kazuki LAP TIME,YOSHINAGA Kazuki ELAPSED TIME,Nicolas LABORDE POSITION,Nicolas LABORDE LAP TIME,Nicolas LABORDE ELAPSED TIME
1,15.15,15.15,4,15.65,15.65,3,15.47,15.47,5,15.80,15.80,2,15.32,15.32
1,11.08,26.23,5,10.98,26.63,4,11.00,26.47,2,10.44,26.24,3,11.03,26.35
2,9.75,35.98,5,9.66,36.29,4,9.66,36.13,1,9.65,35.89,3,9.71,36.06
3,9.25,45.23,4,9.16,45.45,1,8.93,45.06,2,9.26,45.15,5,9.42,45.48
3,9.27,54.50,4,9.22,54.67,1,9.22,54.28,2,9.25,54.40,5,9.28,54.76
3,9.05,1:03.55,4,9.04,1:03.71,1,9.11,1:03.39,2,9.03,1:03.43,5,9.23,1:03.99
3,9.01,1:12.56,4,9.03,1:12.74,2,9.07,1:12.46,1,8.97,1:12.40,5,9.39,1:13.38
3,9.22,1:21.78,4,9.18,1:21.92,2,9.30,1:21.76,1,9.24,1:21.64,5,9.67,1:23.05
2,9.09,1:30.872,4,9.26,1:31.181,3,9.22,1:30.989,1,9.15,1:30.790,5,9.95,1:33.002
