LIM Yong Jin POSITION,LIM Yong Jin LAP TIME,LIM Yong Jin ELAPSED TIME,XU Hongzhi POSITION,XU Hongzhi LAP TIME,XU Hongzhi ELAPSED TIME,Maxime LAOUN POSITION,Maxime LAOUN LAP TIME,Maxime LAOUN ELAPSED TIME,Mark PRINSEN POSITION,Mark PRINSEN LAP TIME,Mark PRINSEN ELAPSED TIME
2,13.70,13.70,1,13.67,13.67,3,13.87,13.87,4,14.02,14.02
1,10.45,24.15,2,10.59,24.26,2,10.39,24.26,4,10.44,24.46
3,9.78,33.93,2,9.52,33.78,1,9.42,33.68,4,9.57,34.03
3,9.24,43.17,2,9.29,43.07,1,9.29,42.97,4,9.29,43.32
1,8.67,51.84,3,8.99,52.06,2,9.00,51.97,4,8.90,52.22
1,8.71,1:00.55,3,8.72,1:00.78,2,8.68,1:00.65,4,8.71,1:00.93
1,8.70,1:09.25,3,8.70,1:09.48,2,8.72,1:09.37,4,8.69,1:09.62
1,8.89,1:18.14,3,9.08,1:18.56,2,9.12,1:18.49,4,9.12,1:18.74
1,9.12,1:27.250,2,9.09,1:27.631,3,9.33,1:27.801,4,9.13,1:27.857
