BLAIS Cedrik POSITION,BLAIS Cedrik LAP TIME,BLAIS Cedrik ELAPSED TIME,LEE June Seo POSITION,LEE June Seo LAP TIME,LEE June Seo ELAPSED TIME,JIA Haidong POSITION,JIA Haidong LAP TIME,JIA Haidong ELAPSED TIME,Teppei KIKUCHI POSITION,Teppei KIKUCHI LAP TIME,Teppei KIKUCHI ELAPSED TIME
2,6.84,6.84,1,6.77,6.77,3,6.96,6.96,4,7.12,7.12
2,8.69,15.53,1,8.65,15.42,3,8.69,15.65,4,8.64,15.76
1,8.17,23.70,3,8.40,23.82,2,8.15,23.80,4,8.16,23.92
1,8.29,31.99,3,8.61,32.43,2,8.37,32.17,3,8.51,32.43
1,8.45,40.44,3,8.46,40.89,2,8.43,40.60,4,9.11,41.54
