Marina GEORGIEVA-NIKOLOVA POSITION,Marina GEORGIEVA-NIKOLOVA LAP TIME,Marina GEORGIEVA-NIKOLOVA ELAPSED TIME,Stephanie BOUVIER POSITION,Stephanie BOUVIER LAP TIME,Stephanie BOUVIER ELAPSED TIME,Alanna KRAUS POSITION,Alanna KRAUS LAP TIME,Alanna KRAUS ELAPSED TIME,Anke Jannie LANDMAN POSITION,Anke Jannie LANDMAN LAP TIME,Anke Jannie LANDMAN ELAPSED TIME
4,16.096,16.096,2,15.844,15.844,3,16.002,16.002,1,15.566,15.566
4,12.396,28.491,2,12.226,28.070,3,12.199,28.200,1,12.346,27.911
4,11.229,39.719,2,11.471,39.541,3,11.470,39.670,1,11.532,39.442
4,10.700,50.419,3,10.854,50.394,2,10.703,50.373,1,10.719,50.160
2,9.820,1:00.238,3,9.940,1:00.333,1,9.718,1:00.090,4,10.276,1:00.436
3,9.797,1:10.034,1,9.517,1:09.850,2,9.932,1:10.021,4,9.988,1:10.423
3,9.862,1:19.896,1,9.786,1:19.636,2,9.791,1:19.811,4,10.141,1:20.564
3,10.094,1:29.989,1,10.132,1:29.767,2,10.033,1:29.844,4,10.340,1:30.903
3,10.54,1:40.526,1,10.46,1:40.226,2,10.47,1:40.313,4,10.84,1:41.735
