Ingmar van RIEL POSITION,Ingmar van RIEL LAP TIME,Ingmar van RIEL ELAPSED TIME,Serhiy LIFYRENKO POSITION,Serhiy LIFYRENKO LAP TIME,Serhiy LIFYRENKO ELAPSED TIME,Jeremy BECK POSITION,Jeremy BECK LAP TIME,Jeremy BECK ELAPSED TIME,Shinyu FUJIMOTO POSITION,Shinyu FUJIMOTO LAP TIME,Shinyu FUJIMOTO ELAPSED TIME
1,6.830,6.830,2,7.030,7.030,3,7.400,7.400,0,,
1,9.490,16.320,2,9.350,16.390,4,9.360,16.770,3,0.000,16.440
1,9.050,25.380,2,9.150,25.540,4,9.020,25.790,3,9.330,25.780
4,21.630,47.010,1,9.330,34.870,3,9.240,35.040,2,9.100,34.880
4,23.250,1:10.270,3,10.020,44.900,1,9.290,44.330,1,9.440,44.330
