Elliott SHRIANE POSITION,Elliott SHRIANE LAP TIME,Elliott SHRIANE ELAPSED TIME,Benjamin KOCH POSITION,Benjamin KOCH LAP TIME,Benjamin KOCH ELAPSED TIME,Zbigniew BRODKA POSITION,Zbigniew BRODKA LAP TIME,Zbigniew BRODKA ELAPSED TIME,Paul HERRMANN POSITION,Paul HERRMANN LAP TIME,Paul HERRMANN ELAPSED TIME
3,7.394,7.394,2,7.017,7.017,1,6.802,6.802,4,7.411,7.411
2,9.503,16.897,4,10.343,17.360,1,9.641,16.442,3,9.568,16.979
3,9.137,26.033,4,9.559,26.919,1,9.297,25.738,2,9.039,26.018
3,9.399,35.431,4,9.464,36.382,1,9.215,34.953,2,9.101,35.118
3,9.78,45.203,4,21.21,57.589,1,9.54,44.485,2,9.53,44.643
