Katalin KRISTO POSITION,Katalin KRISTO LAP TIME,Katalin KRISTO ELAPSED TIME,Mara ZINI POSITION,Mara ZINI LAP TIME,Mara ZINI ELAPSED TIME,Evgenia RADANOVA POSITION,Evgenia RADANOVA LAP TIME,Evgenia RADANOVA ELAPSED TIME,Alanna KRAUS POSITION,Alanna KRAUS LAP TIME,Alanna KRAUS ELAPSED TIME
1,13.418,13.418,2,13.637,13.637,3,13.996,13.996,4,14.034,14.034
1,10.871,24.289,2,10.809,24.446,4,10.734,24.730,3,10.601,24.635
1,10.291,34.580,3,10.323,34.768,4,10.268,34.998,2,10.049,34.683
1,10.179,44.758,2,10.052,44.820,4,10.200,45.197,3,10.262,44.945
4,10.374,55.131,3,10.068,54.887,2,9.667,54.864,1,9.840,54.784
4,10.494,1:05.625,3,10.336,1:05.223,2,10.294,1:05.157,1,10.316,1:05.100
4,10.514,1:16.138,2,10.387,1:15.609,1,10.308,1:15.465,3,10.678,1:15.778
4,10.897,1:27.034,2,10.605,1:26.214,1,10.372,1:25.836,3,10.446,1:26.223
4,11.51,1:38.543,3,10.58,1:36.788,1,10.61,1:36.440,2,10.43,1:36.651
