Firat YARDIMCI POSITION,Firat YARDIMCI LAP TIME,Firat YARDIMCI ELAPSED TIME,Cole William Isaac KRUEGER POSITION,Cole William Isaac KRUEGER LAP TIME,Cole William Isaac KRUEGER ELAPSED TIME,KNEGT Sjinkie POSITION,KNEGT Sjinkie LAP TIME,KNEGT Sjinkie ELAPSED TIME,Odin BY FARSTAD POSITION,Odin BY FARSTAD LAP TIME,Odin BY FARSTAD ELAPSED TIME,Jack BURROWS POSITION,Jack BURROWS LAP TIME,Jack BURROWS ELAPSED TIME
4,14.28,14.28,2,14.00,14.00,1,13.90,13.90,5,14.46,14.46,3,14.16,14.16
2,9.94,24.22,3,10.24,24.24,1,10.14,24.04,4,10.00,24.46,5,10.39,24.55
3,9.45,33.67,2,9.29,33.53,1,9.37,33.41,4,9.37,33.83,5,9.43,33.98
3,9.35,43.02,2,9.37,42.90,1,9.40,42.81,4,9.40,43.23,5,9.27,43.25
3,9.13,52.15,2,9.22,52.12,1,9.19,52.00,5,9.42,52.65,4,9.23,52.48
3,9.13,1:01.28,2,8.91,1:01.03,1,8.85,1:00.85,5,9.42,1:02.07,4,9.08,1:01.56
3,9.07,1:10.35,2,9.01,1:10.04,1,8.75,1:09.60,5,9.79,1:11.86,4,9.10,1:10.66
3,9.39,1:19.74,2,9.23,1:19.27,1,8.94,1:18.54,5,10.27,1:22.13,4,9.32,1:19.98
3,9.71,1:29.45,2,9.57,1:28.84,1,9.07,1:27.61,5,10.72,1:32.85,4,9.71,1:29.69
