Torsten KROEGER POSITION,Torsten KROEGER LAP TIME,Torsten KROEGER ELAPSED TIME,Valentyn DANILOVSKYI POSITION,Valentyn DANILOVSKYI LAP TIME,Valentyn DANILOVSKYI ELAPSED TIME,Richard SHOEBRIDGE POSITION,Richard SHOEBRIDGE LAP TIME,Richard SHOEBRIDGE ELAPSED TIME,Andrey MIKHASEV POSITION,Andrey MIKHASEV LAP TIME,Andrey MIKHASEV ELAPSED TIME
4,13.94,13.94,2,13.64,13.64,3,13.81,13.81,1,13.50,13.50
4,10.40,24.34,3,10.64,24.28,2,10.39,24.20,1,10.64,24.14
4,19.84,44.18,3,16.35,40.63,1,9.67,33.87,2,10.00,34.14
4,11.54,55.72,3,14.10,54.73,1,10.10,43.97,2,9.98,44.12
3,9.80,1:05.52,4,14.01,1:08.74,1,10.35,54.32,2,10.23,54.35
3,10.14,1:15.66,4,13.65,1:22.39,2,9.58,1:03.90,1,9.27,1:03.62
3,10.74,1:26.40,4,13.25,1:35.64,2,9.08,1:12.98,1,9.24,1:12.86
3,11.29,1:37.69,4,13.59,1:49.23,2,9.36,1:22.34,1,9.44,1:22.30
3,11.71,1:49.396,0,,PEN,1,9.47,1:31.806,2,9.96,1:32.258
