MASCITTO Cynthia POSITION,MASCITTO Cynthia LAP TIME,MASCITTO Cynthia ELAPSED TIME,MANOILOVA Katrin POSITION,MANOILOVA Katrin LAP TIME,MANOILOVA Katrin ELAPSED TIME,HUOT MARCHAND Tifany POSITION,HUOT MARCHAND Tifany LAP TIME,HUOT MARCHAND Tifany ELAPSED TIME,SCHULTING Suzanne POSITION,SCHULTING Suzanne LAP TIME,SCHULTING Suzanne ELAPSED TIME,BINEY Maame POSITION,BINEY Maame LAP TIME,BINEY Maame ELAPSED TIME,THOMSON Kathryn POSITION,THOMSON Kathryn LAP TIME,THOMSON Kathryn ELAPSED TIME
1,11.69,11.69,2,11.88,11.88,4,12.04,12.04,5,12.13,12.13,3,12.01,12.01,5,12.13,
2,16.67,28.36,3,16.62,28.50,4,16.47,28.51,5,16.46,28.59,6,16.59,28.60,1,16.15,
2,15.17,43.53,6,15.32,43.82,4,15.15,43.66,5,15.22,43.81,3,14.98,43.58,1,15.14,
3,13.75,57.28,6,13.89,57.71,4,13.76,57.42,5,13.77,57.58,1,13.44,57.02,2,13.73,
3,13.92,1:11.20,6,13.83,1:11.54,4,13.90,1:11.32,5,13.88,1:11.46,1,13.93,1:10.95,2,13.95,
3,12.68,1:23.88,6,12.74,1:24.28,4,12.71,1:24.03,5,12.73,1:24.19,2,12.82,1:23.77,1,12.62,
1,11.27,1:35.15,6,11.38,1:35.66,4,11.45,1:35.48,5,11.40,1:35.59,2,11.48,1:35.25,3,11.64,
1,11.30,1:46.45,6,11.39,1:47.05,4,11.30,1:46.78,5,11.29,1:46.88,2,11.31,1:46.56,3,11.34,
2,10.74,1:57.19,6,10.48,1:57.53,3,10.46,1:57.24,5,10.46,1:57.34,1,10.50,1:57.06,4,10.58,
3,9.63,2:06.82,6,9.83,2:07.36,2,9.56,2:06.80,4,9.77,2:07.11,1,9.66,2:06.72,5,9.84,
3,9.74,2:16.56,6,9.57,2:16.93,2,9.68,2:16.48,4,9.51,2:16.62,1,9.61,2:16.33,5,9.67,
4,9.84,2:26.40,6,9.66,2:26.59,2,9.84,2:26.32,3,9.74,2:26.36,1,9.91,2:26.24,5,9.76,
4,10.22,2:36.62,6,26.15,2:52.74,2,10.05,2:36.37,3,10.14,2:36.50,1,10.04,2:36.28,5,20.68,
4,10.16,2:46.78,6,15.80,3:08.54,0,,PHOTO,0,,PHOTO,1,10.43,2:46.71,5,15.82,
