AYRAPETYAN Denis POSITION,AYRAPETYAN Denis LAP TIME,AYRAPETYAN Denis ELAPSED TIME,Kota AKIMOTO POSITION,Kota AKIMOTO LAP TIME,Kota AKIMOTO ELAPSED TIME,Ariff Rasydan MOHAMAD FADZLI POSITION,Ariff Rasydan MOHAMAD FADZLI LAP TIME,Ariff Rasydan MOHAMAD FADZLI ELAPSED TIME,NIKISHA Denis POSITION,NIKISHA Denis LAP TIME,NIKISHA Denis ELAPSED TIME,WU Dajing POSITION,WU Dajing LAP TIME,WU Dajing ELAPSED TIME
1,13.67,13.67,2,13.77,13.77,5,14.22,14.22,4,14.00,14.00,3,13.88,13.88
1,10.96,24.63,2,10.99,24.76,5,10.92,25.14,4,11.01,25.01,3,10.98,24.86
2,10.58,35.21,3,10.54,35.30,5,10.58,35.72,4,10.41,35.42,1,10.30,35.16
2,10.15,45.36,4,10.30,45.60,5,10.81,46.53,3,10.18,45.60,1,10.07,45.23
2,9.84,55.20,4,9.85,55.45,5,11.19,57.72,3,9.70,55.30,1,9.87,55.10
2,9.40,1:04.60,4,9.38,1:04.83,5,12.29,1:10.01,3,9.33,1:04.63,1,9.39,1:04.49
2,9.23,1:13.83,4,9.26,1:14.09,5,14.40,1:24.41,3,9.36,1:13.99,1,9.24,1:13.73
2,9.02,1:22.85,4,9.10,1:23.19,5,12.33,1:36.74,3,8.95,1:22.94,1,9.01,1:22.74
2,9.08,1:31.922,4,9.61,1:32.800,5,12.29,1:49.028,3,9.15,1:32.084,1,9.08,1:31.813
