Adwin SNELLINK POSITION,Adwin SNELLINK LAP TIME,Adwin SNELLINK ELAPSED TIME,Kuandyk SULEYMENOV POSITION,Kuandyk SULEYMENOV LAP TIME,Kuandyk SULEYMENOV ELAPSED TIME,Daniel ZETZSCHE POSITION,Daniel ZETZSCHE LAP TIME,Daniel ZETZSCHE ELAPSED TIME,ZHANG Hongchao POSITION,ZHANG Hongchao LAP TIME,ZHANG Hongchao ELAPSED TIME,Nicola RODIGARI POSITION,Nicola RODIGARI LAP TIME,Nicola RODIGARI ELAPSED TIME,Keith CARROLL POSITION,Keith CARROLL LAP TIME,Keith CARROLL ELAPSED TIME
1,10.31,10.31,5,10.95,10.95,2,10.49,10.49,3,10.72,10.72,4,10.86,10.86,6,11.19,11.19
1,14.27,24.58,5,13.98,24.93,2,14.12,24.61,4,14.05,24.77,3,13.89,24.75,6,14.01,25.20
2,12.15,36.73,5,12.10,37.03,1,12.08,36.69,4,12.11,36.88,3,12.03,36.78,6,11.95,37.15
3,10.98,47.71,4,10.77,47.80,1,10.82,47.51,5,11.02,47.90,2,10.84,47.62,6,10.94,48.09
5,10.63,58.34,4,10.46,58.26,1,10.54,58.05,6,10.56,58.46,2,10.53,58.15,3,10.12,58.21
5,9.80,1:08.14,4,9.72,1:07.98,2,9.84,1:07.89,6,9.81,1:08.27,3,9.83,1:07.98,1,9.61,1:07.82
5,9.61,1:17.75,1,9.46,1:17.44,3,9.65,1:17.54,6,9.59,1:17.86,4,9.67,1:17.65,2,9.63,1:17.45
5,9.40,1:27.15,1,9.41,1:26.85,3,9.43,1:26.97,6,9.41,1:27.27,4,9.40,1:27.05,2,9.45,1:26.90
6,9.52,1:36.67,1,9.65,1:36.50,5,9.70,1:36.67,3,9.30,1:36.57,4,9.61,1:36.66,2,9.66,1:36.56
5,9.62,1:46.29,2,9.36,1:45.86,6,9.90,1:46.57,1,8.86,1:45.43,3,9.27,1:45.93,4,9.45,1:46.01
5,9.30,1:55.59,4,9.54,1:55.40,6,9.83,1:56.40,1,9.03,1:54.46,2,9.23,1:55.16,3,9.38,1:55.39
5,9.52,2:05.11,4,9.60,2:05.00,6,10.17,2:06.57,1,9.08,2:03.54,3,9.51,2:04.67,2,9.18,2:04.57
5,9.71,2:14.82,4,9.74,2:14.74,6,10.63,2:17.20,1,9.20,2:12.74,3,9.70,2:14.37,2,9.20,2:13.77
4,9.92,2:24.738,5,10.02,2:24.755,6,11.32,2:28.511,1,9.70,2:22.438,3,10.08,2:24.448,2,9.48,2:23.251
