John-Henry KRUEGER POSITION,John-Henry KRUEGER LAP TIME,John-Henry KRUEGER ELAPSED TIME,Victor AN POSITION,Victor AN LAP TIME,Victor AN ELAPSED TIME,DOTTI Tommaso POSITION,DOTTI Tommaso LAP TIME,DOTTI Tommaso ELAPSED TIME,Ryosuke SAKAZUME POSITION,Ryosuke SAKAZUME LAP TIME,Ryosuke SAKAZUME ELAPSED TIME,HAN Tianyu POSITION,HAN Tianyu LAP TIME,HAN Tianyu ELAPSED TIME
3,13.05,13.05,2,12.91,12.91,5,13.23,13.23,4,13.17,13.17,1,12.74,12.74
3,9.34,22.39,2,9.40,22.31,5,9.41,22.64,4,9.34,22.51,1,9.48,22.22
2,9.06,31.45,3,9.22,31.53,5,9.11,31.75,4,9.12,31.63,1,9.21,31.43
1,9.10,40.55,3,9.23,40.76,5,9.21,40.96,4,9.21,40.84,2,9.25,40.68
1,9.24,49.79,3,9.30,50.06,5,9.33,50.29,4,9.30,50.14,2,9.26,49.94
1,9.11,58.90,3,9.05,59.11,5,9.04,59.33,4,9.07,59.21,2,9.07,59.01
1,9.06,1:07.96,3,9.05,1:08.16,5,9.06,1:08.39,4,9.04,1:08.25,2,9.05,1:08.06
1,9.15,1:17.11,3,9.15,1:17.31,5,9.19,1:17.58,4,9.18,1:17.43,2,9.15,1:17.21
1,9.28,1:26.39,3,9.28,1:26.59,5,9.29,1:26.872,4,9.34,1:26.775,2,9.26,1:26.47
