Ruslan ZAKHAROV POSITION,Ruslan ZAKHAROV LAP TIME,Ruslan ZAKHAROV ELAPSED TIME,Einar AGDESTEIN POSITION,Einar AGDESTEIN LAP TIME,Einar AGDESTEIN ELAPSED TIME,Roberto PUKITIS POSITION,Roberto PUKITIS LAP TIME,Roberto PUKITIS ELAPSED TIME,GEORGIEV Dimitar POSITION,GEORGIEV Dimitar LAP TIME,GEORGIEV Dimitar ELAPSED TIME
1,13.26,13.26,2,13.39,13.39,3,13.49,13.49,4,13.58,13.58
1,10.01,23.27,3,10.06,23.45,2,9.89,23.38,4,10.00,23.58
1,9.83,33.10,3,9.83,33.28,2,9.83,33.21,4,9.79,33.37
1,9.73,42.83,3,9.74,43.02,2,9.70,42.91,4,9.74,43.11
1,9.59,52.42,3,9.61,52.63,2,9.59,52.50,4,9.53,52.64
1,9.30,1:01.72,4,9.54,1:02.17,2,9.29,1:01.79,3,9.29,1:01.93
1,9.18,1:10.90,4,9.42,1:11.59,2,9.20,1:10.99,3,9.38,1:11.31
1,9.26,1:20.16,4,9.59,1:21.18,1,9.17,1:20.16,3,9.58,1:20.89
2,9.57,1:29.73,4,9.96,1:31.14,1,9.36,1:29.52,3,9.72,1:30.61
