Gabriel VOLET POSITION,Gabriel VOLET LAP TIME,Gabriel VOLET ELAPSED TIME,BONTOVICS Balazs POSITION,BONTOVICS Balazs LAP TIME,BONTOVICS Balazs ELAPSED TIME,LI Rui-Zhe POSITION,LI Rui-Zhe LAP TIME,LI Rui-Zhe ELAPSED TIME,Marc GONZALES POSITION,Marc GONZALES LAP TIME,Marc GONZALES ELAPSED TIME,ANDERMANN Nico POSITION,ANDERMANN Nico LAP TIME,ANDERMANN Nico ELAPSED TIME,Kaloyan ANGELOV POSITION,Kaloyan ANGELOV LAP TIME,Kaloyan ANGELOV ELAPSED TIME
6,9.67,9.67,4,9.27,9.27,1,8.59,8.59,5,9.49,9.49,3,9.08,9.08,2,8.75,8.75
6,11.38,21.05,4,11.50,20.77,1,11.80,20.39,5,11.43,20.92,3,11.60,20.68,2,11.75,20.50
5,11.31,32.36,4,11.48,32.25,1,11.51,31.90,6,11.48,32.40,3,11.47,32.15,2,11.51,32.01
5,11.45,43.81,4,11.49,43.74,1,11.53,43.43,6,11.56,43.96,3,11.49,43.64,2,11.53,43.54
3,11.68,55.49,4,11.83,55.57,1,11.86,55.29,5,11.67,55.63,6,12.00,55.64,2,11.86,55.40
4,11.91,1:07.40,3,11.70,1:07.27,1,11.79,1:07.08,6,11.86,1:07.49,5,11.81,1:07.45,2,11.80,1:07.20
4,10.91,1:18.31,2,10.90,1:18.17,6,11.51,1:18.59,5,11.05,1:18.54,1,10.58,1:18.03,3,10.98,1:18.18
3,10.48,1:28.79,2,10.56,1:28.73,6,10.77,1:29.36,5,10.46,1:29.00,1,10.63,1:28.66,4,10.64,1:28.82
3,10.31,1:39.10,1,10.01,1:38.74,6,10.80,1:40.16,5,10.41,1:39.41,2,10.20,1:38.86,4,10.31,1:39.13
3,9.50,1:48.60,1,9.37,1:48.11,6,11.16,1:51.32,5,9.74,1:49.15,2,9.36,1:48.22,4,9.92,1:49.05
3,9.41,1:58.01,1,9.06,1:57.17,6,11.67,2:02.99,5,9.80,1:58.95,2,9.07,1:57.29,4,9.81,1:58.86
3,9.57,2:07.58,1,9.12,2:06.29,6,11.94,2:14.93,5,10.28,2:09.23,2,9.09,2:06.38,4,10.27,2:09.13
3,9.85,2:17.43,1,9.25,2:15.54,6,12.48,2:27.41,5,10.81,2:20.04,2,9.26,2:15.64,4,10.79,2:19.92
3,10.16,2:27.59,1,9.50,2:25.04,6,12.37,2:39.78,0,10.95,2:30.99,2,9.54,2:25.18,0,11.05,2:30.97
