Valentyn DANILOVSKYI POSITION,Valentyn DANILOVSKYI LAP TIME,Valentyn DANILOVSKYI ELAPSED TIME,Pierre BODA POSITION,Pierre BODA LAP TIME,Pierre BODA ELAPSED TIME,LEPAPE Sebastien POSITION,LEPAPE Sebastien LAP TIME,LEPAPE Sebastien ELAPSED TIME
1,6.97,6.97,3,7.44,7.44,2,7.21,7.21
1,9.21,16.18,3,9.12,16.56,2,9.04,16.25
2,8.94,25.12,3,8.76,25.32,1,8.67,24.92
3,9.23,34.35,2,8.91,34.23,1,8.80,33.72
3,9.32,43.669,2,9.20,43.424,1,8.86,42.571
