Serhiy LIFYRENKO POSITION,Serhiy LIFYRENKO LAP TIME,Serhiy LIFYRENKO ELAPSED TIME,Aydar BEKZHANOV POSITION,Aydar BEKZHANOV LAP TIME,Aydar BEKZHANOV ELAPSED TIME,Kiril PANDOV POSITION,Kiril PANDOV LAP TIME,Kiril PANDOV ELAPSED TIME,Thibault CROLET POSITION,Thibault CROLET LAP TIME,Thibault CROLET ELAPSED TIME
1,6.93,6.93,2,7.08,7.08,3,7.12,7.12,4,7.35,7.35
1,9.27,16.20,2,9.20,16.28,4,9.29,16.41,3,9.05,16.40
2,8.79,24.99,1,8.62,24.90,4,9.28,25.69,3,8.69,25.09
2,8.88,33.87,1,8.76,33.66,4,9.09,34.78,3,8.78,33.87
3,9.25,43.112,1,8.91,42.568,4,9.75,44.521,2,9.01,42.875
