Igor KUTOVOI POSITION,Igor KUTOVOI LAP TIME,Igor KUTOVOI ELAPSED TIME,Arian NACHBAR POSITION,Arian NACHBAR LAP TIME,Arian NACHBAR ELAPSED TIME,Satoru TERAO POSITION,Satoru TERAO LAP TIME,Satoru TERAO ELAPSED TIME,LI Jiajun POSITION,LI Jiajun LAP TIME,LI Jiajun ELAPSED TIME,Kiril PANDOV POSITION,Kiril PANDOV LAP TIME,Kiril PANDOV ELAPSED TIME,Mark JACKSON POSITION,Mark JACKSON LAP TIME,Mark JACKSON ELAPSED TIME
1,9.890,9.890,3,10.264,10.264,2,9.981,9.981,4,10.321,10.321,5,10.465,10.465,6,10.713,10.713
1,13.721,23.610,3,13.690,23.953,2,13.828,23.809,4,13.652,23.972,5,13.694,24.158,6,13.827,24.540
2,13.104,36.714,5,13.015,36.968,3,13.089,36.897,1,12.706,36.677,4,12.780,36.937,6,12.441,36.980
6,12.931,49.645,3,12.289,49.257,2,12.249,49.146,1,12.193,48.870,4,12.556,49.493,5,12.530,49.510
5,12.155,1:01.799,3,12.214,1:01.470,2,12.192,1:01.337,1,12.445,1:01.314,6,12.359,1:01.852,4,12.126,1:01.636
6,12.025,1:13.823,3,12.048,1:13.517,2,12.042,1:13.379,1,11.781,1:13.094,5,11.817,1:13.668,4,12.012,1:13.648
6,11.854,1:25.677,3,11.837,1:25.354,2,11.891,1:25.269,1,11.878,1:24.972,4,11.769,1:25.437,5,11.889,1:25.536
5,10.635,1:36.311,2,10.896,1:36.250,3,10.999,1:36.268,1,11.108,1:36.080,4,10.843,1:36.279,6,10.870,1:36.405
5,10.504,1:46.814,4,10.375,1:46.625,3,10.065,1:46.333,2,10.032,1:46.111,1,9.585,1:45.864,6,10.414,1:46.818
6,10.544,1:57.358,4,9.191,1:55.815,3,9.294,1:55.627,2,9.348,1:55.459,1,9.429,1:55.292,5,9.686,1:56.504
6,10.816,2:08.174,4,9.384,2:05.199,2,9.335,2:04.962,1,9.268,2:04.726,3,9.795,2:05.087,5,9.764,2:06.267
6,11.082,2:19.255,2,9.317,2:14.515,3,9.593,2:14.555,1,9.532,2:14.258,4,10.085,2:15.171,5,9.892,2:16.159
6,12.174,2:31.429,3,9.572,2:24.087,2,9.497,2:24.051,1,9.518,2:23.775,4,10.545,2:25.716,5,10.158,2:26.317
6,13.54,2:44.969,3,9.83,2:33.917,2,9.83,2:33.881,1,9.91,2:33.685,5,11.07,2:36.782,4,10.43,2:36.742
