Victor AN POSITION,Victor AN LAP TIME,Victor AN ELAPSED TIME,CHEN Dequan POSITION,CHEN Dequan LAP TIME,CHEN Dequan ELAPSED TIME,CONFORTOLA Yuri POSITION,CONFORTOLA Yuri LAP TIME,CONFORTOLA Yuri ELAPSED TIME,NIKISHA Denis POSITION,NIKISHA Denis LAP TIME,NIKISHA Denis ELAPSED TIME
1,12.62,12.62,2,12.73,12.73,3,12.79,12.79,4,12.88,12.88
2,9.96,22.58,3,9.90,22.63,1,9.69,22.48,4,9.84,22.72
2,9.81,32.39,3,9.87,32.50,1,9.81,32.29,4,9.88,32.60
3,9.60,41.99,2,9.44,41.94,1,9.62,41.91,4,9.58,42.18
3,9.22,51.21,1,9.10,51.04,4,9.46,51.37,2,8.95,51.13
3,9.26,1:00.47,1,9.22,1:00.26,4,9.20,1:00.57,2,9.23,1:00.36
3,9.23,1:09.70,1,9.25,1:09.51,4,9.26,1:09.83,2,9.25,1:09.61
3,9.05,1:18.75,1,8.99,1:18.50,4,9.05,1:18.88,2,9.03,1:18.64
2,9.26,1:28.002,0,,PEN,3,9.23,1:28.104,1,9.10,1:27.733
