JUNG Yanghun Ben POSITION,JUNG Yanghun Ben LAP TIME,JUNG Yanghun Ben ELAPSED TIME,NOGRADI Bence POSITION,NOGRADI Bence LAP TIME,NOGRADI Bence ELAPSED TIME,NIKISHA Denis POSITION,NIKISHA Denis LAP TIME,NIKISHA Denis ELAPSED TIME,EYBOG Daniil POSITION,EYBOG Daniil LAP TIME,EYBOG Daniil ELAPSED TIME
2,7.13,7.13,4,7.26,7.26,1,6.97,6.97,3,7.19,7.19
3,9.08,16.21,4,9.07,16.33,1,8.81,15.78,2,8.80,15.99
3,8.52,24.73,4,8.50,24.83,1,8.36,24.14,2,8.17,24.16
4,8.90,33.63,3,8.64,33.47,1,8.64,32.78,2,8.82,32.98
4,9.16,42.79,3,8.78,42.25,1,8.70,41.48,2,8.59,41.57
