Torsten KROEGER POSITION,Torsten KROEGER LAP TIME,Torsten KROEGER ELAPSED TIME,SAULITIS Jekabs POSITION,SAULITIS Jekabs LAP TIME,SAULITIS Jekabs ELAPSED TIME,OLAH Bence POSITION,OLAH Bence LAP TIME,OLAH Bence ELAPSED TIME,Danabek KHAIROV POSITION,Danabek KHAIROV LAP TIME,Danabek KHAIROV ELAPSED TIME
4,7.34,7.34,1,6.85,6.85,2,7.16,7.16,3,7.23,7.23
3,9.31,16.65,1,9.20,16.05,2,9.41,16.57,4,9.42,16.65
4,8.97,25.62,1,8.88,24.93,2,9.01,25.58,3,8.96,25.61
4,9.94,35.56,1,8.98,33.91,3,9.96,35.54,2,9.53,35.14
2,9.22,44.772,1,9.18,43.084,3,9.56,45.094,0,,PEN
