BINEY Maame POSITION,BINEY Maame LAP TIME,BINEY Maame ELAPSED TIME,GAERTNER Anna Katharina POSITION,GAERTNER Anna Katharina LAP TIME,GAERTNER Anna Katharina ELAPSED TIME,CHARLES Alyson POSITION,CHARLES Alyson LAP TIME,CHARLES Alyson ELAPSED TIME,PENCHEVA Zornica POSITION,PENCHEVA Zornica LAP TIME,PENCHEVA Zornica ELAPSED TIME
1,7.24,7.24,4,8.14,8.14,2,7.46,7.46,3,7.78,7.78
1,9.36,16.60,4,10.25,18.39,2,9.23,16.69,3,9.61,17.39
1,8.90,25.50,4,9.69,28.08,1,8.81,25.50,3,9.10,26.49
2,9.13,34.63,4,9.78,37.86,1,9.03,34.53,3,9.46,35.95
2,9.20,43.83,4,10.14,48.002,1,9.21,43.74,3,9.83,45.788
