Hitomi SAITO POSITION,Hitomi SAITO LAP TIME,Hitomi SAITO ELAPSED TIME,TALAYEVA Volha POSITION,TALAYEVA Volha LAP TIME,TALAYEVA Volha ELAPSED TIME,STORMOWSKA Kamila POSITION,STORMOWSKA Kamila LAP TIME,STORMOWSKA Kamila ELAPSED TIME,BOTTER GOMEZ Nicole POSITION,BOTTER GOMEZ Nicole LAP TIME,BOTTER GOMEZ Nicole ELAPSED TIME,MANOILOVA Katrin POSITION,MANOILOVA Katrin LAP TIME,MANOILOVA Katrin ELAPSED TIME,Marijn WIERSMA POSITION,Marijn WIERSMA LAP TIME,Marijn WIERSMA ELAPSED TIME
4,13.55,13.55,1,12.94,12.94,2,13.15,13.15,5,13.74,13.74,3,13.31,13.31,6,13.93,13.93
4,19.59,33.14,1,19.85,32.79,2,19.73,32.88,5,19.59,33.33,3,19.73,33.04,6,19.55,33.48
4,16.97,50.11,1,16.88,49.67,2,16.92,49.80,5,16.98,50.31,3,16.90,49.94,6,17.02,50.50
4,16.28,1:06.39,1,16.16,1:05.83,2,16.16,1:05.96,5,16.24,1:06.55,3,16.22,1:06.16,6,16.25,1:06.75
4,15.33,1:21.72,1,15.47,1:21.30,2,15.47,1:21.43,5,15.38,1:21.93,3,15.41,1:21.57,6,15.32,1:22.07
4,14.34,1:36.06,1,14.23,1:35.53,2,14.27,1:35.70,5,14.29,1:36.22,3,14.32,1:35.89,6,14.28,1:36.35
5,12.34,1:48.40,1,12.54,1:48.07,3,12.48,1:48.18,6,12.33,1:48.55,4,12.42,1:48.31,2,11.80,1:48.15
5,10.17,1:58.57,2,10.22,1:58.29,3,10.16,1:58.34,6,10.14,1:58.69,4,10.11,1:58.42,1,10.08,1:58.23
4,9.79,2:08.36,2,9.92,2:08.21,3,9.92,2:08.26,6,9.86,2:08.55,5,10.05,2:08.47,1,9.80,2:08.03
4,9.64,2:18.00,3,9.77,2:17.98,2,9.62,2:17.88,6,9.67,2:18.22,5,9.64,2:18.11,1,9.71,2:17.74
3,9.53,2:27.53,6,10.03,2:28.01,2,9.54,2:27.42,5,9.54,2:27.76,4,9.60,2:27.71,1,9.58,2:27.32
3,9.54,2:37.07,6,9.80,2:37.81,2,9.59,2:37.01,4,9.39,2:37.15,5,9.68,2:37.39,1,9.61,2:36.93
2,9.89,2:46.96,6,9.93,2:47.74,4,10.11,2:47.12,3,9.90,2:47.05,5,9.96,2:47.35,1,9.81,2:46.74
2,9.86,2:56.822,6,10.20,2:57.940,4,10.00,2:57.129,3,10.07,2:57.120,5,10.27,2:57.620,1,10.01,2:56.75
