Bram STEENAART POSITION,Bram STEENAART LAP TIME,Bram STEENAART ELAPSED TIME,de LAAT Itzhak POSITION,de LAAT Itzhak LAP TIME,de LAAT Itzhak ELAPSED TIME,Dan IWASA POSITION,Dan IWASA LAP TIME,Dan IWASA ELAPSED TIME,de CLEMENTE Clayton POSITION,de CLEMENTE Clayton LAP TIME,de CLEMENTE Clayton ELAPSED TIME,DION Pascal POSITION,DION Pascal LAP TIME,DION Pascal ELAPSED TIME
1,6.81,6.81,2,6.93,6.93,4,7.22,7.22,5,7.47,7.47,3,7.03,7.03
1,8.89,15.70,2,8.80,15.73,4,8.88,16.10,5,9.00,16.47,3,8.86,15.89
2,8.61,24.31,1,8.34,24.07,4,8.65,24.75,5,8.72,25.19,3,8.43,24.32
3,8.62,32.93,1,8.36,32.43,4,8.70,33.45,5,8.75,33.94,2,8.46,32.78
3,8.76,41.698,1,8.58,41.01,4,8.86,42.315,5,8.92,42.867,2,8.49,41.27
