Selma POUTSMA POSITION,Selma POUTSMA LAP TIME,Selma POUTSMA ELAPSED TIME,THOMSON Kathryn POSITION,THOMSON Kathryn LAP TIME,THOMSON Kathryn ELAPSED TIME,KIM Geon Hee POSITION,KIM Geon Hee LAP TIME,KIM Geon Hee ELAPSED TIME,Kasandra BRADETTE POSITION,Kasandra BRADETTE LAP TIME,Kasandra BRADETTE ELAPSED TIME
1,7.39,7.39,2,7.49,7.49,4,7.74,7.74,3,7.59,7.59
1,9.45,16.84,2,9.55,17.04,4,9.52,17.26,3,9.53,17.12
1,8.96,25.80,2,8.87,25.91,4,8.83,26.09,3,8.84,25.96
1,9.00,34.80,4,9.48,35.39,3,8.91,35.00,2,8.99,34.95
0,,PHOTO,4,9.35,44.74,0,,PHOTO,1,9.16,44.11
