CHARLES Alyson POSITION,CHARLES Alyson LAP TIME,CHARLES Alyson ELAPSED TIME,GUO Yihan POSITION,GUO Yihan LAP TIME,GUO Yihan ELAPSED TIME,WATANABE Aoi POSITION,WATANABE Aoi LAP TIME,WATANABE Aoi ELAPSED TIME,XU Aili POSITION,XU Aili LAP TIME,XU Aili ELAPSED TIME
2,15.03,15.03,4,15.36,15.36,1,14.83,14.83,3,15.22,15.22
2,10.91,25.94,4,10.79,26.15,1,10.94,25.77,3,10.83,26.05
2,10.95,36.89,4,10.90,37.05,1,10.95,36.72,3,10.98,37.03
1,9.61,46.50,4,9.84,46.89,2,9.95,46.67,3,9.74,46.77
1,9.77,56.27,4,9.73,56.62,2,9.71,56.38,3,9.73,56.50
1,9.56,1:05.83,4,9.53,1:06.15,3,9.74,1:06.12,2,9.39,1:05.89
2,9.41,1:15.24,3,9.52,1:15.67,4,9.84,1:15.96,1,9.24,1:15.13
2,9.57,1:24.81,3,9.28,1:24.95,4,9.96,1:25.92,1,9.35,1:24.48
2,9.54,1:34.35,3,9.51,1:34.46,4,10.22,1:36.147,1,9.76,1:34.24
