DOTTI Tommaso POSITION,DOTTI Tommaso LAP TIME,DOTTI Tommaso ELAPSED TIME,Hannes KROEGER POSITION,Hannes KROEGER LAP TIME,Hannes KROEGER ELAPSED TIME,Aydar BEKZHANOV POSITION,Aydar BEKZHANOV LAP TIME,Aydar BEKZHANOV ELAPSED TIME,Viacheslav KURGINIAN POSITION,Viacheslav KURGINIAN LAP TIME,Viacheslav KURGINIAN ELAPSED TIME
1,13.23,13.23,2,13.35,13.35,4,13.56,13.56,3,13.44,13.44
2,10.34,23.57,1,10.14,23.49,4,10.25,23.81,3,10.25,23.69
2,9.77,33.34,3,9.99,33.48,4,9.78,33.59,1,9.56,33.25
2,9.47,42.81,3,9.47,42.95,4,9.45,43.04,1,9.48,42.73
1,9.32,52.13,2,9.35,52.30,4,9.46,52.50,3,9.68,52.41
1,9.41,1:01.54,3,9.37,1:01.67,2,9.17,1:01.67,4,9.31,1:01.72
1,9.49,1:11.03,3,9.56,1:11.23,2,9.52,1:11.19,4,9.55,1:11.27
1,9.51,1:20.54,4,9.65,1:20.88,2,9.47,1:20.66,3,9.49,1:20.76
1,9.81,1:30.344,4,9.65,1:30.526,2,9.75,1:30.410,3,9.70,1:30.459
