Anne-Sophie DAVREUX POSITION,Anne-Sophie DAVREUX LAP TIME,Anne-Sophie DAVREUX ELAPSED TIME,Jorien ter MORS POSITION,Jorien ter MORS LAP TIME,Jorien ter MORS ELAPSED TIME,Marina GEORGIEVA-NIKOLOVA POSITION,Marina GEORGIEVA-NIKOLOVA LAP TIME,Marina GEORGIEVA-NIKOLOVA ELAPSED TIME,Agnieszka TAWREL POSITION,Agnieszka TAWREL LAP TIME,Agnieszka TAWREL ELAPSED TIME
2,14.82,14.82,1,14.73,14.73,3,14.94,14.94,4,15.00,15.00
3,11.20,26.02,2,11.18,25.91,1,10.91,25.85,4,11.12,26.12
3,10.06,36.08,2,10.07,35.98,1,10.02,35.87,4,10.06,36.18
3,9.93,46.01,2,9.93,45.91,1,9.95,45.82,4,9.93,46.11
3,10.16,56.17,2,10.18,56.09,1,10.17,55.99,4,10.16,56.27
3,9.92,1:06.09,2,9.92,1:06.01,1,9.93,1:05.92,4,9.94,1:06.21
3,9.96,1:16.05,1,9.85,1:15.86,2,9.99,1:15.91,4,9.99,1:16.20
3,9.98,1:26.03,1,9.91,1:25.77,2,9.97,1:25.88,4,27.32,1:43.52
3,10.18,1:36.204,1,10.25,1:36.020,2,10.23,1:36.109,4,16.14,1:59.652
