Yasuko SAKASHITA POSITION,Yasuko SAKASHITA LAP TIME,Yasuko SAKASHITA ELAPSED TIME,Malwina ZAWADA POSITION,Malwina ZAWADA LAP TIME,Malwina ZAWADA ELAPSED TIME,Alex STANLEY POSITION,Alex STANLEY LAP TIME,Alex STANLEY ELAPSED TIME,Alix-Myra ANDERSON POSITION,Alix-Myra ANDERSON LAP TIME,Alix-Myra ANDERSON ELAPSED TIME,Kristina VUTEVA POSITION,Kristina VUTEVA LAP TIME,Kristina VUTEVA ELAPSED TIME,Julia RIEDEL POSITION,Julia RIEDEL LAP TIME,Julia RIEDEL ELAPSED TIME
6,9.53,9.53,2,9.20,9.20,4,9.31,9.31,5,9.43,9.43,1,9.10,9.10,3,9.24,9.24
5,12.37,21.90,3,12.51,21.72,4,12.42,21.73,6,12.51,21.94,2,12.48,21.58,1,12.12,21.37
6,11.84,33.75,4,11.90,33.62,3,11.85,33.59,5,11.75,33.69,2,11.83,33.42,1,11.95,33.33
4,10.58,44.34,5,10.86,44.48,3,10.72,44.31,6,10.80,44.50,2,10.85,44.27,1,10.85,44.18
1,10.16,54.51,5,10.54,55.03,3,10.55,54.87,6,10.60,55.11,4,10.60,54.88,2,10.57,54.75
1,11.11,1:05.62,3,10.81,1:05.85,2,10.82,1:05.70,6,10.98,1:06.09,5,11.12,1:06.00,4,11.14,1:05.89
2,10.74,1:16.36,4,10.63,1:16.48,1,10.59,1:16.29,5,10.52,1:16.62,6,10.62,1:16.62,3,10.57,1:16.47
1,10.50,1:26.86,3,10.72,1:27.20,2,10.76,1:27.06,5,10.65,1:27.27,6,10.85,1:27.48,4,10.77,1:27.24
1,11.32,1:38.18,3,11.25,1:38.46,2,11.23,1:38.29,4,11.24,1:38.51,6,11.24,1:38.73,5,11.29,1:38.53
1,10.60,1:48.78,3,10.75,1:49.21,6,12.02,1:50.32,4,10.82,1:49.33,5,10.76,1:49.50,2,10.49,1:49.02
1,10.79,1:59.58,3,10.68,1:59.90,6,12.27,2:02.60,4,10.63,1:59.97,5,10.58,2:00.08,2,10.84,1:59.86
1,11.15,2:10.74,3,11.05,2:10.95,4,12.75,2:15.35,6,25.03,2:25.01,5,21.91,2:22.00,2,11.04,2:10.91
1,11.12,2:21.86,3,11.25,2:22.21,4,13.27,2:28.62,6,14.87,2:39.88,5,15.80,2:37.80,2,11.24,2:22.16
1,10.96,2:32.815,2,10.78,2:32.983,3,13.86,2:42.477,4,13.99,2:53.870,0,,DQ,0,,DQ
